id	old_slug	slug	name	birth_year	death_year	status	merged_into_person_id	review_result	evidence
610095e2-adea-4141-9f0a-384751f09421	mikhail-mikhailovich-dobrotvorsky	mikhail-mikhailovich-dobrotvorsky	M.M. ドブロトゥヴォールスキー	1836	1874	active		修正	https://sakh-virtualmuseum.ru/dobrotvorskiy-mikhail-mikhaylovich
96c2bcdd-59f5-4982-a31e-de6aaa49fafe	shichisaburo-mizushina	shichisaburo-mizushina	Shichisaburo Mizushina		1940	active		変更なし・全項目確認済みを意味しない	—
95c64a51-1e6f-41b1-b898-7c50496e0550	shozaburo-kanazawa	shozaburo-kanazawa	金沢 庄三郎	1872	1967	active		変更なし・全項目確認済みを意味しない	—
8b75fc9b-a13a-4f24-be5d-61cdad999111	ryuzo-torii	ryuzo-torii	鳥居 龍藏	1870	1953	active		変更なし・全項目確認済みを意味しない	—
d4ff530a-f922-40d7-8bdf-69b9c5a5bf29	batchelor-john	batchelor-john	ジョン・バチラー	1854	1944	active		変更なし・全項目確認済みを意味しない	—
dc9b0aef-b30a-4df8-a0d4-b728b81c53a9	yamabe-yasunosuke	yamabe-yasunosuke	山辺 安之助	1867	1923	active		変更なし・全項目確認済みを意味しない	—
293ae8ef-ebce-41ac-9f67-b95d61208d9b	kindaichi-kyosuke	kindaichi-kyosuke	金田一 京助	1882	1971	active		変更なし・全項目確認済みを意味しない	—
8b851403-f430-42e6-94e5-ebcabc9bc63c	chiri-mashiho	chiri-mashiho	知里 真志保	1909	1961	active		変更なし・全項目確認済みを意味しない	—
eebd3cfc-253a-417b-a15c-ad3dd61dcabb	wada-bunjiro	wada-bunjiro	和田 文治郎	1898	1958	active		修正	https://id.ndl.go.jp/auth/ndlna/001141718
c46bb3ca-4f2f-4887-8819-fdc63cf38a07	tamura-suzuko	tamura-suzuko	田村 すゞ子	1934	2015	active		変更なし・全項目確認済みを意味しない	—
0b28b2bc-4c54-48e0-ad86-2898f475b4dc	hattori-shiro	hattori-shiro	服部 四郎	1908	1995	active		変更なし・全項目確認済みを意味しない	—
7ec5f1e0-0135-44c0-95cf-bc4018d885f2	mike-wright	mike-wright	Mike Wright			active		変更なし・全項目確認済みを意味しない	—
e97f99df-11ff-445e-99c9-e5d979f876aa	alexander-vovin	alexander-vovin	Alexander Vovin	1961	2022	active		変更なし・全項目確認済みを意味しない	—
21746c06-8845-46b8-8d23-60b85e694b17	nakagawa-hiroshi	nakagawa-hiroshi	中川 裕	1955		active		変更なし・全項目確認済みを意味しない	—
57e0702b-cca0-43aa-b3aa-b08f3cf4b645	issan-uoi	issan-uoi	Issan Uoi			active		変更なし・全項目確認済みを意味しない	—
c4b55d50-d136-4087-ba76-18e37ccb18a6	kayano-shigeru	kayano-shigeru	萱野 茂	1926	2006	active		変更なし・全項目確認済みを意味しない	—
fd6049ea-316c-41b6-8551-3357454314ea	nobue-chiba	nobue-chiba	Nobue Chiba			active		変更なし・全項目確認済みを意味しない	—
a29a8cd5-0644-4535-b629-fea1291f6cdc	alexander-yu-akulov	alexander-yu-akulov	Alexander Yu. Akulov			active		変更なし・全項目確認済みを意味しない	—
086bfd37-2501-4032-8085-36969213f1ad	wikipedia-contributors	wikipedia-contributors	Wikipedia contributors			active		変更なし・全項目確認済みを意味しない	—
993ef3a2-b71e-4a29-91fe-9b90c32c3000	bugaeva-anna	bugaeva-anna	アンナ・ブガエワ			active		変更なし・全項目確認済みを意味しない	—
48965f28-98a1-492b-9e02-ec988c3c9bc5	moriyo-shimabukuro	moriyo-shimabukuro	Moriyo Shimabukuro			active		変更なし・全項目確認済みを意味しない	—
37b8330e-be0f-4400-bc22-553a6ba3971f	asjp-consortium	asjp-consortium	ASJP Consortium (Wichmann et al.)			active		変更なし・全項目確認済みを意味しない	—
d0689aea-e04e-4a47-8aee-8c75d6084e63	dellert-johannes-et-al	dellert-johannes-et-al	Dellert, Johannes et al.			active		変更なし・全項目確認済みを意味しない	—
70b95bc0-9d77-4b14-8f1d-5ad8fc2620e5	simon-ager	simon-ager	Simon Ager			active		変更なし・全項目確認済みを意味しない	—
d0ddb86b-c2a0-4f53-8374-c199b1cb0d3c	takashi-tomita	takashi-tomita	Takashi Tomita			active		変更なし・全項目確認済みを意味しない	—
211d61a3-10ee-45d9-8b9a-3840d68bca5d	mitsuru-ota	mitsuru-ota	太田 満	1967	2020	active		修正	https://id.ndl.go.jp/auth/ndlna/032572861
b551ff0b-1805-4ad4-88a9-9592a82664ea	ijas-silja	ijas-silja	イヤス シリヤ			active		変更なし・全項目確認済みを意味しない	—
56b5e701-4b45-4d93-9585-0155db681838	igor-garshin	igor-garshin	Igor Garshin			active		変更なし・全項目確認済みを意味しない	—
60d37312-0769-49f9-a8c4-c940134705e3	wiktionary-contributors	wiktionary-contributors	Wiktionary contributors			active		変更なし・全項目確認済みを意味しない	—
ee9378ba-7cc4-47c9-9ef8-a300199cebec	loanwordbank-contributors	loanwordbank-contributors	Loanwordbank contributors			active		変更なし・全項目確認済みを意味しない	—
6ebc9c19-e192-4cf7-a1b2-dec153036f81	english-wiktionary	english-wiktionary	English Wiktionary			active		変更なし・全項目確認済みを意味しない	—
7b41113b-dec4-44df-a415-3dee75f862f1	pilsudski	pilsudski	Pilsudski			merged	e29ab0f2-6e9f-46ad-b92b-8fbb66286173	統合	—
780c539e-72e4-4ce5-81ae-b7cfd2f3f39e	murasaki	murasaki	Murasaki			active		変更なし・全項目確認済みを意味しない	—
28b30c48-af39-412b-a217-4ea4de1c272f	shibatani-masayoshi	shibatani-masayoshi	Shibatani Masayoshi			active		変更なし・全項目確認済みを意味しない	—
985d2771-db4f-43c0-a4c1-5ad45fce6e04	hokkaido-utari-kyokai	hokkaido-utari-kyokai	Hokkaido Utari Kyokai			active		変更なし・全項目確認済みを意味しない	—
04978da1-7395-445f-9199-eb3390ba0636	fukazawa-mika	fukazawa-mika	深澤 美香			active		変更なし・全項目確認済みを意味しない	—
c1b80912-e78b-4981-b749-76eda719f810	refsing	refsing	Refsing		2023	merged	0e7906de-439d-43f6-9495-da14b4b6ccfb	統合	—
9c0572b8-f3cf-4853-a7ad-08fb3a78fbf4	ninjal	ninjal	NINJAL			active		変更なし・全項目確認済みを意味しない	—
f1786dfe-03ed-4851-bfe0-dd9eb402cf77	kishimoto-yoshihisa	kishimoto-yoshihisa	岸本 宜久			active		変更なし・全項目確認済みを意味しない	—
05f553b4-21f1-4429-9fee-ea3e41efbaef	yoshikawa-yoshimi	yoshikawa-yoshimi	吉川 佳見			active		変更なし・全項目確認済みを意味しない	—
53d7a37b-8099-4ace-8d8d-df1472745aa5	kirikae-hideo	kirikae-hideo	切替 英雄	1954	2021	active		修正	https://doi.org/10.1163/25898833-12340047
5610efc3-ef32-4c86-88cd-4a6d41fd327e	otani-yoichi	otani-yoichi	大谷洋一			active		変更なし・全項目確認済みを意味しない	—
f5dbb7cb-2026-4cb6-8838-7f08ffede4ae	tangiku-itsuji	tangiku-itsuji	丹菊 逸治			active		変更なし・全項目確認済みを意味しない	—
ec1d91aa-7e9f-4fb1-b508-5947175ea2d3	yoshida-erika	yoshida-erika	吉田 恵理佳			active		変更なし・全項目確認済みを意味しない	—
0ec8fd30-35d4-410e-a6dc-fdce6b2adaa0	dal-corso-elia	dal-corso-elia	Dal Corso Elia			active		変更なし・全項目確認済みを意味しない	—
910560fb-aa37-4354-b336-c466c330458c	echizenya-hiroshi	echizenya-hiroshi	越前谷 博			active		変更なし・全項目確認済みを意味しない	—
3fd27ed6-12a4-4735-a4f3-6440d3943fa7	sakaguchi-ryo	sakaguchi-ryo	阪口 諒			active		変更なし・全項目確認済みを意味しない	—
283b0c4c-7c0d-456b-b36e-893943f5d071	nowakowski-karol	nowakowski-karol	Nowakowski Karol			active		変更なし・全項目確認済みを意味しない	—
0017eee6-4b44-4f0a-9550-00da5f5e0726	ma-changcheng	ma-changcheng	馬 長城			active		変更なし・全項目確認済みを意味しない	—
312250a3-a8ea-4355-ab67-5c8c2e6eaa46	yasuoka-koichi	yasuoka-koichi	安岡 孝一	1965		active		修正	https://id.ndl.go.jp/auth/ndlna/00257623
1961b0ed-4a48-4b85-ba2e-a01e96869386	yasuoka-motoko	yasuoka-motoko	安岡 素子	1971		active		修正	https://id.ndl.go.jp/auth/ndlna/00763524
60c57642-52a2-47d9-addc-c2c55e43c703	takahashi-yasui	takahashi-yasushige	高橋 靖以			active		修正	https://eprints.lib.hokudai.ac.jp/repo/huscap/all/34543/
49af149b-b455-491a-853f-af247c7608c4	okuda-osami	okuda-osami	奥田 統己	1963		active		変更なし・全項目確認済みを意味しない	—
8c02112d-fa40-48a7-a3e8-c05f13c96c2f	senuma-hajime	senuma-hajime	Senuma Hajime			active		変更なし・全項目確認済みを意味しない	—
bdcba2ff-d432-4030-b40c-a9b216eabdd7	aizawa-akiko	aizawa-akiko	Aizawa Akiko			active		変更なし・全項目確認済みを意味しない	—
a5a557fe-cb51-4b37-a043-be5fdaaad4f2	fujita-mamoru	fujita-mamoru	藤田護			active		変更なし・全項目確認済みを意味しない	—
7df2e39d-372b-4268-bf99-dfa5de5f6856	watanabe-kaori	watanabe-kaori	渡邊香織			active		修正	https://opac.ll.chiba-u.jp/da/curator/108062/S21857148-21-P243-SAK.pdf
28954098-e88d-4448-b6ab-8d0d6af806b9	kobayashi-miki	kobayashi-miki	小林 美紀			active		修正	https://www.ff-ainu.or.jp/web/overview/files/R3jigyo3.pdf
c6e243b9-759a-4b7f-89f1-0e1134575822	yamaguchi-shinju	yamaguchi-shinju	山口 伸樹			active		修正	https://cir.nii.ac.jp/crid/1050007072212351488 | https://cir.nii.ac.jp/crid/1050007072212351488
9888390b-a25d-4e8e-9312-0c577b558b16	j-m	j-m	阪口諒・ディクソンJ. M.			merged	3fd27ed6-12a4-4735-a4f3-6440d3943fa7	統合	—
620a6e36-71f6-4729-92c2-03f1679b3175	miyagawa-so	miyagawa-so	宮川 創	1989		active		変更なし・全項目確認済みを意味しない	—
0ef39637-9947-46bc-b0f4-1cbca447cc1a	igarashi-ryo	igarashi-ryo	五十嵐 涼			active		変更なし・全項目確認済みを意味しない	—
41e5a045-bb1a-44f4-bd18-2b8d6fd5de74	kato-daiki	kato-daiki	加藤 大樹			active		変更なし・全項目確認済みを意味しない	—
e057bf3f-ac69-4f33-aae9-e25d23cb2e7c	murasaki-kyoko	murasaki-kyoko	村崎 恭子	1937		active		変更なし・全項目確認済みを意味しない	—
9fef8805-fb55-4f33-bbf4-a3f4e7b159bf	hirosawa	hirosawa	廣澤			active		変更なし・全項目確認済みを意味しない	—
f0497a0e-8fdd-43cc-bd63-f9e1ff3cb940	cjyet-yo	cjyet-yo	于 拙			active		変更なし・全項目確認済みを意味しない	—
01aee963-9ff0-480c-8042-79d3fc31c9a2	nikitina-tatiana	nikitina-tatiana	Nikitina Tatiana			active		変更なし・全項目確認済みを意味しない	—
66c3c39a-3202-4cb4-a091-028693116c77	ochiai-izumi	ochiai-izumi	落合いずみ			active		変更なし・全項目確認済みを意味しない	—
d491c40e-711e-421c-a4a2-fc4be9cf21c7	shirasawa-nabe	shirasawa-nabe	白沢ナベ	1905	1993	active		変更なし・全項目確認済みを意味しない	—
a4d03887-c6b2-4b6e-b1ba-0bd761c8fa5a	izutsu-katsunobu	izutsu-katsunobu	井筒 勝信	1969		active		修正	https://id.ndl.go.jp/auth/ndlna/01070841
2275d0a5-484c-4ac2-8b93-1ce2647dfa98	azumi-yasunori	azumi-yasunori	安曇 恭徳			active		変更なし・全項目確認済みを意味しない	—
00255242-2a21-4cdf-932d-2c07a4ee0f1a	momouchi-yoshio	momouchi-yoshio	桃内 佳雄	1942		active		変更なし・全項目確認済みを意味しない	—
334b3344-7fea-457d-a283-eb44673ba7b6	itabashi-yoshizo	itabashi-yoshizo	板橋 義三	1953		active		変更なし・全項目確認済みを意味しない	—
d9ccaeab-ff5b-4d85-99bc-1e7f0ba436a0	tamura-masashi	tamura-masashi	田村 雅史			active		変更なし・全項目確認済みを意味しない	—
38409031-9d93-4285-a508-7327190b7fcb	baek-sangyub	baek-sangyub	Baek Sangyub			active		変更なし・全項目確認済みを意味しない	—
ddbab99a-0b5d-48f3-9b46-7218adc455fb	ptaszynski-michal	ptaszynski-michal	Michał Ptaszyński			active		修正	https://tip.cs.kitami-it.ac.jp/en/members/ptaszynski-michal/
3cfc53e5-0e98-4851-b38a-0cab87df8200	ono-yohei	ono-yohei	小野洋平			active		変更なし・全項目確認済みを意味しない	—
5142e481-9c0d-4695-ab5d-e73e36ab7a3a	barrie-michael	barrie-michael	Barrie Michael			active		変更なし・全項目確認済みを意味しない	—
8a41036e-34c1-4101-9b80-31ea3d103a97	mathieu-eric	mathieu-eric	Mathieu Éric			active		変更なし・全項目確認済みを意味しない	—
cf422380-fd52-49ef-bba5-ea856ae0f51c	klara-chuda	klara-chuda	フダー・クラーラ			active		変更なし・全項目確認済みを意味しない	—
e3810e21-7240-4101-b851-eab00f806603	yoshimoto-yuko	yoshimoto-yuko	吉本 裕子			active		変更なし・全項目確認済みを意味しない	—
64359ec8-2530-4066-885f-c637086a5178	nam-deokhyun	nam-deokhyun	Nam Deokhyun			active		変更なし・全項目確認済みを意味しない	—
f4913fa6-9240-4357-9208-3de1fb69e110	matsuura-kohei-et-al	matsuura-kohei-et-al	Matsuura Kohei et al			merged	cf1207de-02de-42c9-a2c9-a9280f7b79c1	統合	—
565e391b-d666-409b-91e3-de296dbd2841	jussi-nurmi	jussi-nurmi	ヌルミ・ユッシ			active		変更なし・全項目確認済みを意味しない	—
5d776ebc-96d9-4fb4-a908-60c43df5e525	furukawa-kyoko	furukawa-kyoko	古川 恭子			active		変更なし・全項目確認済みを意味しない	—
df839b94-3330-4037-8662-c240039e8594	endo-shiho	endo-shiho	遠藤 志保			active		変更なし・全項目確認済みを意味しない	—
5b60536b-bdf0-423c-91bb-9607f8744d8f	nakai-takanori	nakai-takanori	中井 貴規			active		変更なし・全項目確認済みを意味しない	—
534d6bdf-f708-4a97-9f1c-145dfc03b340	sugawara-katsukichi	sugawara-katsukichi	菅原 勝吉			active		変更なし・全項目確認済みを意味しない	—
5e5768dd-ba1d-4937-81cc-6b81ef2e9d4e	shimokura-emi	shimokura-emi	下倉 絵美			active		変更なし・全項目確認済みを意味しない	—
c93cbc9e-644c-40ad-ba83-cebc24d966cc	p-yiokn0	p-yiokn0	鹿田 川見			active		変更なし・全項目確認済みを意味しない	—
0e8eb85f-4f85-436e-ad05-5a5b4d11703c	nakamoto-mutsuko	nakamoto-mutsuko	中本 ムツ子	1928	2011	active		変更なし・全項目確認済みを意味しない	—
fe259d69-b3fd-486f-bb8a-4f0bf866dd85	sawai-masatoshi	sawai-masatoshi	澤井 政敏			active		変更なし・全項目確認済みを意味しない	—
14bf7c7a-e966-4b53-8b11-c30570c76432	sugawara-katsuyoshi	sugawara-katsuyoshi	菅原 勝良			active		変更なし・全項目確認済みを意味しない	—
ff1ba01e-5cd0-4138-9cef-e73b6976a18d	oshino-akemi	oshino-akemi	押野 朱美			active		変更なし・全項目確認済みを意味しない	—
d7cd5ea0-9144-4f0a-ad32-2449eed7118c	oshino-rika	oshino-rika	押野 里架			active		変更なし・全項目確認済みを意味しない	—
48a84209-8d41-4c22-b4a8-d431bad4f412	kuzuno-tsugio	kuzuno-tsugio	葛野 次雄	1954		active		変更なし・全項目確認済みを意味しない	—
0afb63aa-9287-47d0-83b2-b5c08d71fc63	akibe-tokuhei	akibe-tokuhei	秋辺 得平	1943		active		変更なし・全項目確認済みを意味しない	—
dff796b6-fc4f-4b56-9ec4-4444172e1b2d	ueno-sada	ueno-sada	上野 サダ		2007	active		変更なし・全項目確認済みを意味しない	—
fe2e6067-307b-4e93-9baa-6d48fd31ea38	hori-etsuko	hori-etsuko	堀 悦子			active		変更なし・全項目確認済みを意味しない	—
e557d335-0276-4659-8afb-fcda50059ac8	takagi-kikue	takagi-kikue	高木 喜久恵			active		変更なし・全項目確認済みを意味しない	—
299dd06c-1dc9-4a54-a2b2-0cafc2ff3474	katayama-hiroko	katayama-hiroko	片山 弘子			active		変更なし・全項目確認済みを意味しない	—
d9669d8f-2b4c-4386-a06d-57b815427445	nakano-tomoe	nakano-tomoe	中野 巴			active		変更なし・全項目確認済みを意味しない	—
7dc89bd7-2b59-4e44-a6fa-149fa221a560	sekine-maya	sekine-maya	関根 摩耶			active		変更なし・全項目確認済みを意味しない	—
4d64fe11-3562-45b9-a8a4-f4bbfd9ba792	kumagai-kane	kumagai-kane	熊谷 カネ			active		変更なし・全項目確認済みを意味しない	—
7a75f730-0ba3-4bc3-b8fd-00cead02dbdd	kawakami-yoko	kawakami-yoko	川上 容子			active		変更なし・全項目確認済みを意味しない	—
9ae154a0-ee70-4017-9c0c-8cad769eec04	kimura-rino	kimura-rino	木村 梨乃			active		変更なし・全項目確認済みを意味しない	—
8caf9257-3cbb-4b7f-96d7-c2e347d7bee2	takiguchi-yumi	takiguchi-yumi	瀧口 夕美	1971		active		修正	https://id.ndl.go.jp/auth/ndlna/001303277
2853bf43-736a-41c1-98ab-71e335a9f47f	p-1g3g6l0	p-1g3g6l0	山丸 賢雄			active		変更なし・全項目確認済みを意味しない	—
ffae056a-1eb4-4bae-877c-22f9bf27e3e3	p-1cnoo6r	p-1cnoo6r	増野 光			active		変更なし・全項目確認済みを意味しない	—
ed4fb951-3731-4248-997d-918f20ce8b10	kayano-shiro	kayano-shiro	萱野 志朗	1958		active		変更なし・全項目確認済みを意味しない	—
8bcd2f1b-7ce4-4779-95d2-b9c40a71b95a	sekine-kenji	sekine-kenji	関根 健司			active		変更なし・全項目確認済みを意味しない	—
f394c31e-e995-43a3-a9c8-cb0680ab2835	kawakami-megumi	kawakami-megumi	川上 恵			active		変更なし・全項目確認済みを意味しない	—
1f4a6c2c-8aec-47be-8f8e-c6cd7e073b58	okamoto-tomoya	okamoto-tomoya	岡本 朋也			active		変更なし・全項目確認済みを意味しない	—
16d73a81-5dfc-4ef1-ad38-45c9cf190a6a	hachiya-mai	hachiya-mai	八谷 麻衣			active		変更なし・全項目確認済みを意味しない	—
0c61d1b9-352b-45e4-80dc-d9f06d189432	p-1j8u2n8	p-1j8u2n8	上武 和臣			active		変更なし・全項目確認済みを意味しない	—
a638d1f1-eb0f-4b11-9abc-b6902990cb89	osuga-rueko	osuga-rueko	大須賀 るえ子			active		変更なし・全項目確認済みを意味しない	—
522b527d-f4e7-425a-a16f-9e79b906105c	kimura-taeko	kimura-taeko	木村 多栄子			active		変更なし・全項目確認済みを意味しない	—
6eaed32c-7ffa-46d6-a9d6-1c74e101352d	asai-take	asai-take	浅井 タケ	1902	1994	active		変更なし・全項目確認済みを意味しない	—
a23b3810-dfd6-4cb4-a732-92456c4b9d33	mokottunas-kitahara	mokottunas-kitahara	北原 モコットゥナㇱ	1976		active		変更なし・全項目確認済みを意味しない	—
54810fa9-d6e7-4178-a268-12e2750fd65b	p-157hhhq	p-157hhhq	クスリコヤ			active		変更なし・全項目確認済みを意味しない	—
463ffcce-3d36-4a93-b5a8-7e95702d6f4f	p-ynb2tw	p-ynb2tw	徹辺 重次郎			active		変更なし・全項目確認済みを意味しない	—
9e4e27c6-7725-4d41-b7b8-ed11881bd26d	yamada-hayo	yamada-hayo	山田 ハヨ			active		変更なし・全項目確認済みを意味しない	—
42b11a82-dcd0-4579-a5c2-278d708e586f	kitakaze-isokichi	kitakaze-isokichi	北風 磯吉	1880	1969	active		修正	https://kotobank.jp/word/北風磯吉-1069251
a8ee2b51-5c77-46cb-8445-a2256095bbb7	fujiyama-haru	fujiyama-haru	藤山 ハル	1900	1974	active		変更なし・全項目確認済みを意味しない	—
bcd19556-3752-436b-959b-867eede43b8a	nagahama-seizo	nagahama-seizo	長濱 清蔵			active		変更なし・全項目確認済みを意味しない	—
cd98aaaf-dbd4-4b54-bbdb-0eb2edba80c8	araida-seino	araida-seino	新井田 セイノ	1917	2011	active		変更なし・全項目確認済みを意味しない	—
9e38c2a4-539b-4575-a5da-b5b7b2731d76	yoshimura-fuyuko	yoshimura-fuyuko	吉村 冬子	1926	2022	active		変更なし・全項目確認済みを意味しない	—
bcef6384-4870-4dc0-8821-1ce31b164867	kawakami-matsuko	kawakami-matsuko	川上 まつ子	1913	1988	active		修正	https://id.ndl.go.jp/auth/ndlna/00157200
30a46fab-1a41-49f7-9b86-f9a16fc274ca	kuzuno-daiki	kuzuno-daiki	葛野 大喜			active		変更なし・全項目確認済みを意味しない	—
8d10c0fa-a36d-48fc-a846-5912833b3570	kano-rumiko	kano-rumiko	加納 ルミ子			active		変更なし・全項目確認済みを意味しない	—
871e5076-1455-41dd-82e7-1a45d3c46b5e	yae-kiyotoshi	yae-kiyotoshi	八重 清敏			active		変更なし・全項目確認済みを意味しない	—
1f0d28ef-3ca3-4273-b6ad-cb14d228778d	ishikawa-mikaho	ishikawa-mikaho	石川 美香穂			active		修正	https://www.ff-ainu.or.jp/web/overview/cultural_exchange/details/6_7.html
b4463eac-39cf-41b1-b994-92465116bdf4	yonezawa-ryo	yonezawa-ryo	米澤 諒			active		変更なし・全項目確認済みを意味しない	—
6ecf92af-4539-4199-9311-493de5a5385c	ogawa-sanae	ogawa-sanae	小川 早苗	1940		active		修正	https://id.ndl.go.jp/auth/ndlna/01197806
6f3797b3-d7b9-4686-bac8-46f32a7c468a	hayasaka-shun	hayasaka-shun	早坂 駿			active		変更なし・全項目確認済みを意味しない	—
8de55797-1013-45b8-8f8c-c90498bd688c	kaizawa-miwako	kaizawa-miwako	貝澤 美和子			active		変更なし・全項目確認済みを意味しない	—
7d584442-34da-47db-9f47-760944c8bdb5	amanai-shigeki	amanai-shigeki	天内 重樹			active		変更なし・全項目確認済みを意味しない	—
a8e556c7-3d16-4de4-ae35-dccbc8b1fb0f	okada-yuki	okada-yuki	岡田 勇樹			active		変更なし・全項目確認済みを意味しない	—
18e97669-8165-4060-b46a-a2682a382c06	hiraga-sada	hiraga-sada	平賀 サダ	1895	1972	active		修正	https://id.ndl.go.jp/auth/ndlna/00386334
d0086e14-4aec-420a-81a5-f1fa16ef4c25	oda-ito	oda-ito	小田 イト	1911	2000	active		変更なし・全項目確認済みを意味しない	—
914159af-d91e-45a0-8b44-1675cd823521	kimura-kimi	kimura-kimi	木村 きみ	1900	1988	active		修正	https://www.ff-ainu.or.jp/about/files/H24%E8%AC%9B%E6%BC%94%E4%BC%9A%E3%80%80%E8%AC%9B%E6%BC%94%E9%8C%B2%EF%BC%88%E6%9C%AD%E5%B9%8C%EF%BC%89%E4%B8%AD%E5%B7%9D%E8%A3%95.pdf
5fe3d0a5-c867-49fc-90d1-f1c19f45edbd	sentoku-taroji	sentoku-taroji	千徳 太郎治	1872	1929	active		変更なし・全項目確認済みを意味しない	—
246d0ae9-3bde-4566-9457-cd8d8310c068	chiri-yukie	chiri-yukie	知里 幸恵	1903	1922	active		変更なし・全項目確認済みを意味しない	—
1f53ac28-5e58-4031-a6c2-48e008105a31	hamada-takashi	hamada-takashi	浜田 隆史			active		変更なし・全項目確認済みを意味しない	—
37759b5e-0d8d-4fef-b6cb-8bc496b49045	yokoyama-hiroyuki	yokoyama-hiroyuki	横山 裕之			active		変更なし・全項目確認済みを意味しない	—
402e02dc-c35d-4d1e-b38c-39c54eec9408	kanzaki-masayoshi	kanzaki-masayoshi	神崎 雅好			active		変更なし・全項目確認済みを意味しない	—
de73444c-37b8-48a0-8146-616c8a260d06	komatsu-kazuhiro	komatsu-kazuhiro	小松 和弘	1961		active		修正	https://id.ndl.go.jp/auth/ndlna/00254980
00b7905b-1362-43b3-a3ec-32a730215a9d	p-c4w1s9	p-c4w1s9	瀬戸 成子			active		変更なし・全項目確認済みを意味しない	—
aaf8f623-2f85-4490-bad8-a0ed0420d788	aihara-noriaki	aihara-noriaki	相原 典明			active		変更なし・全項目確認済みを意味しない	—
50d0cf89-8fa4-4e77-af47-540d299e2f01	matsumoto-narumi	matsumoto-narumi	松本 成美	1927		active		修正	https://id.ndl.go.jp/auth/ndlna/00041827
c4f841ec-4b59-4442-9acf-42802192f86e	nomoto-hisae	nomoto-hisae	野本 久栄			active		変更なし・全項目確認済みを意味しない	—
c02163e3-152c-4077-9b98-281c1289cc16	yoshimura-akio	yoshimura-akio	吉村 明夫			active		変更なし・全項目確認済みを意味しない	—
efdbb281-f3a9-4901-8f16-51e74c99e142	akibe-hideo	akibe-hideo	秋辺 日出男			active		変更なし・全項目確認済みを意味しない	—
dc9d953a-5529-4146-9420-fe97ee82345e	ono-tetsuto	ono-tetsuto	大野 徹人	1973		active		修正	https://id.ndl.go.jp/auth/ndlna/001164045
3edadb8c-7624-4043-9fcc-ed5af2b71fa0	okuda-sachiko	okuda-sachiko	奥田 幸子			active		変更なし・全項目確認済みを意味しない	—
632685a9-a9ec-49c6-8ce5-d71abe8801cd	heo-min	heo-min	허 민 (Heo Min)			active		変更なし・全項目確認済みを意味しない	—
