slug	name	catalogue_status	death_year_before	death_year_after	result	checked_at	ndl_query_url	ndl_hit_count	web_queries	evidence_urls	note
arai-kaori	新井 かおり	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%96%B0%E4%BA%95%E3%81%8B%E3%81%8A%E3%82%8A&g=personalNames&num=100	1	"""新井 かおり"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""新井かおり"" 訃報 死去"		—
araida-seino	新井田 セイノ	active	2011	2011	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%96%B0%E4%BA%95%E7%94%B0%E3%82%BB%E3%82%A4%E3%83%8E&g=personalNames&num=100	0		https://www.wikidata.org/wiki/Q116973116	—
arakida-iehisa	荒木田 家寿	active		1981	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%8D%92%E6%9C%A8%E7%94%B0%E5%AE%B6%E5%AF%BF&g=personalNames&num=100	1	"""荒木田 家寿"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""荒木田家寿"" 訃報 死去"	https://id.ndl.go.jp/auth/ndlna/00003041	—
asai-take	浅井 タケ	active	1994	1994	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%B5%85%E4%BA%95%E3%82%BF%E3%82%B1&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q5925741	—
asakura-toshimitsu	朝倉 利光	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9C%9D%E5%80%89%E5%88%A9%E5%85%89&g=personalNames&num=100	1	"""朝倉 利光"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""朝倉利光"" 訃報 死去"		—
asjp-consortium	ASJP Consortium (Wichmann et al.)	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=ASJP%20Consortium%20%28Wichmann%20et%20al.%29&g=personalNames&num=100	0	"""ASJP Consortium (Wichmann et al.)"" (obituary OR died OR ""passed away"") | ""ASJP Consortium (Wichmann et al.)"" obituary died"		—
august-pfizmaier	August Pfizmaier	active	1887	1887	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=August%20Pfizmaier&g=personalNames&num=100	0		https://www.wikidata.org/wiki/Q90550	—
azumi-yasunori	安曇 恭徳	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%AE%89%E6%9B%87%E6%81%AD%E5%BE%B3&g=personalNames&num=100	0	"""安曇 恭徳"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""安曇恭徳"" 訃報 死去"		—
baba-yumi	馬場 裕美	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E9%A6%AC%E5%A0%B4%E8%A3%95%E7%BE%8E&g=personalNames&num=100	0	"""馬場 裕美"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""馬場裕美"" 訃報 死去"		—
baek-sangyub	Baek Sangyub	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Baek%20Sangyub&g=personalNames&num=100	0	"""Baek Sangyub"" (obituary OR died OR ""passed away"") | ""Baek Sangyub"" obituary died"		—
barrie-michael	Barrie Michael	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Barrie%20Michael&g=personalNames&num=100	0	"""Barrie Michael"" (obituary OR died OR ""passed away"") | ""Barrie Michael"" obituary died"		—
basil-hall-chamberlain	Basil Hall Chamberlain	active	1935	1935	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Basil%20Hall%20Chamberlain&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q810029	—
batchelor-john	John Batchelor	active	1944	1944	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=John%20Batchelor&g=personalNames&num=100	3		https://www.wikidata.org/wiki/Q2618150	—
benon-zbigniew-sza-ek	Benon Zbigniew Szałek	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Benon%20Zbigniew%20Sza%C5%82ek&g=personalNames&num=100	0	"""Benon Zbigniew Szałek"" (obituary OR died OR ""passed away"") | ""Benon Zbigniew Szałek"" obituary died"		—
bronis-aw-pi-sudski	Bronisław Piłsudski	active	1918	1918	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Bronis%C5%82aw%20Pi%C5%82sudski&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q586914	—
bugaeva-anna	アンナ・ブガエワ	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E3%82%A2%E3%83%B3%E3%83%8A%E3%83%BB%E3%83%96%E3%82%AC%E3%82%A8%E3%83%AF&g=personalNames&num=100	1	"""アンナ・ブガエワ"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""アンナ・ブガエワ"" 訃報 死去"		—
c	マーハ ジョン C.	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E3%83%9E%E3%83%BC%E3%83%8F%20%E3%82%B8%E3%83%A7%E3%83%B3%20C.&g=personalNames&num=100	1	"""マーハ ジョン C."" (訃報 OR 死去 OR 逝去 OR 生没年) | ""マーハジョンC."" 訃報 死去"		—
carl-etter	Carl Etter	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Carl%20Etter&g=personalNames&num=100	0	"""Carl Etter"" (obituary OR died OR ""passed away"") | ""Carl Etter"" obituary died"		—
chamberlain-basil-hall-1850-1935	Chamberlain, Basil Hall, 1850-1935	active		1935	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Chamberlain%2C%20Basil%20Hall%2C%201850-1935&g=personalNames&num=100	1	"""Chamberlain, Basil Hall, 1850-1935"" (obituary OR died OR ""passed away"") | ""Chamberlain, Basil Hall, 1850-1935"" obituary died"	https://id.ndl.go.jp/auth/ndlna/00435646	—
chiri-mashiho	知里 真志保	active	1961	1961	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%9F%A5%E9%87%8C%E7%9C%9F%E5%BF%97%E4%BF%9D&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11584669	—
chiri-mutsumi	知里 むつみ	active	2016	2016	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%9F%A5%E9%87%8C%E3%82%80%E3%81%A4%E3%81%BF&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q128896159	—
chiri-takanaka	知里 高央	active		1965	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%9F%A5%E9%87%8C%E9%AB%98%E5%A4%AE&g=personalNames&num=100	1	"""知里 高央"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""知里高央"" 訃報 死去"	https://id.ndl.go.jp/auth/ndlna/00084155	—
chiri-yukie	知里 幸恵	active	1922	1922	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%9F%A5%E9%87%8C%E5%B9%B8%E6%81%B5&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q7315919	—
chisato-dubreuil	Chisato Dubreuil	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Chisato%20Dubreuil&g=personalNames&num=100	0	"""Chisato Dubreuil"" (obituary OR died OR ""passed away"") | ""Chisato Dubreuil"" obituary died"		—
chisato-dubreuil-2	Chisato (Kitty) Dubreuil	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Chisato%20%28Kitty%29%20Dubreuil&g=personalNames&num=100	0	"""Chisato (Kitty) Dubreuil"" (obituary OR died OR ""passed away"") | ""Chisato (Kitty) Dubreuil"" obituary died"		—
cjyet-yo	于 拙	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E4%BA%8E%E6%8B%99&g=personalNames&num=100	1	"""于 拙"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""于拙"" 訃報 死去"		—
dal-corso-elia	Dal Corso Elia	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Dal%20Corso%20Elia&g=personalNames&num=100	0	"""Dal Corso Elia"" (obituary OR died OR ""passed away"") | ""Dal Corso Elia"" obituary died"		—
david-l-howell	David L. Howell	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=David%20L.%20Howell&g=personalNames&num=100	1	"""David L. Howell"" (obituary OR died OR ""passed away"") | ""David L. Howell"" obituary died"		—
david-w-hughes	David W. Hughes	active		2025	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=David%20W.%20Hughes&g=personalNames&num=100	2	"""David W. Hughes"" (obituary OR died OR ""passed away"") | ""David W. Hughes"" obituary died"	https://www.soas.ac.uk/about/news/david-w-hughes-senior-lecturer-ethnomusicology-has-passed-away	—
davydov-gavriil-ivanovich-1784-1809	Davydov, Gavriil Ivanovich, 1784-1809	active		1809	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Davydov%2C%20Gavriil%20Ivanovich%2C%201784-1809&g=personalNames&num=100	0	"""Davydov, Gavriil Ivanovich, 1784-1809"" (obituary OR died OR ""passed away"") | ""Davydov, Gavriil Ivanovich, 1784-1809"" obituary died"	https://www.si.edu/object/siris_sil_271667	—
dellert-johannes-et-al	Dellert, Johannes et al.	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Dellert%2C%20Johannes%20et%20al.&g=personalNames&num=100	0	"""Dellert, Johannes et al."" (obituary OR died OR ""passed away"") | ""Dellert, Johannes et al."" obituary died"		—
deriha-koji	出利葉 浩司	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%87%BA%E5%88%A9%E8%91%89%E6%B5%A9%E5%8F%B8&g=personalNames&num=100	1	"""出利葉 浩司"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""出利葉浩司"" 訃報 死去"		—
donald-l-philippi	Donald L. Philippi	active		1993	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Donald%20L.%20Philippi&g=personalNames&num=100	1	"""Donald L. Philippi"" (obituary OR died OR ""passed away"") | ""Donald L. Philippi"" obituary died"	https://web.archive.org/web/20190901121816/http://www.jai2.com/dlpobit.htm	—
echizenya-hiroshi	越前谷 博	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%B6%8A%E5%89%8D%E8%B0%B7%E5%8D%9A&g=personalNames&num=100	0	"""越前谷 博"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""越前谷博"" 訃報 死去"		—
egami-namio	江上 波夫	active	2002	2002	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%B1%9F%E4%B8%8A%E6%B3%A2%E5%A4%AB&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11550613	—
emiko-ohnuki-tierney	Emiko Ohnuki‐Tierney	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Emiko%20Ohnuki%E2%80%90Tierney&g=personalNames&num=100	1	"""Emiko Ohnuki‐Tierney"" (obituary OR died OR ""passed away"") | ""Emiko Ohnuki‐Tierney"" obituary died"		—
emori-susumu	榎森 進	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%A6%8E%E6%A3%AE%E9%80%B2&g=personalNames&num=100	1	"""榎森 進"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""榎森進"" 訃報 死去"		—
endo-masatoshi	遠藤 匡俊	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E9%81%A0%E8%97%A4%E5%8C%A1%E4%BF%8A&g=personalNames&num=100	1	"""遠藤 匡俊"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""遠藤匡俊"" 訃報 死去"		—
endo-shiho	遠藤 志保	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E9%81%A0%E8%97%A4%E5%BF%97%E4%BF%9D&g=personalNames&num=100	2	"""遠藤 志保"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""遠藤志保"" 訃報 死去"		—
english-wiktionary	English Wiktionary	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=English%20Wiktionary&g=personalNames&num=100	0	"""English Wiktionary"" (obituary OR died OR ""passed away"") | ""English Wiktionary"" obituary died"		—
fosco-maraini	Fosco Maraini	active	2004	2004	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Fosco%20Maraini&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q1439364	—
fred-c-c-peng	Fred C.C. Peng	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Fred%20C.C.%20Peng&g=personalNames&num=100	0	"""Fred C.C. Peng"" (obituary OR died OR ""passed away"") | ""Fred C.C. Peng"" obituary died"		—
fujii-naoharu	藤井 尚治	active	1997	1997	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%97%A4%E4%BA%95%E5%B0%9A%E6%B2%BB&g=personalNames&num=100	2		https://www.wikidata.org/wiki/Q11622765	—
fujii-sadakazu	藤井 貞和	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%97%A4%E4%BA%95%E8%B2%9E%E5%92%8C&g=personalNames&num=100	1	"""藤井 貞和"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""藤井貞和"" 訃報 死去"		—
fujimoto-hideo	藤本 英夫	active	2005	2005	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%97%A4%E6%9C%AC%E8%8B%B1%E5%A4%AB&g=personalNames&num=100	1		https://ci.nii.ac.jp/ncid/BD20381900	—
fujimura-hisakazu	藤村 久和	active	2025	2025	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%97%A4%E6%9D%91%E4%B9%85%E5%92%8C&g=personalNames&num=100	1		https://www.hkk.or.jp/kouhou/file/allpage_no747.pdf	—
fujita-mamoru	藤田護	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%97%A4%E7%94%B0%E8%AD%B7&g=personalNames&num=100	2	"""藤田護"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""藤田護"" 訃報 死去"		—
fujiyama-haru	藤山 ハル	active	1974	1974	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%97%A4%E5%B1%B1%E3%83%8F%E3%83%AB&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11623839	—
fukazawa-mika	深澤 美香	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%B7%B1%E6%BE%A4%E7%BE%8E%E9%A6%99&g=personalNames&num=100	1	"""深澤 美香"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""深澤美香"" 訃報 死去"		—
fukuda-kichijiro	福田 吉次郎	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%A6%8F%E7%94%B0%E5%90%89%E6%AC%A1%E9%83%8E&g=personalNames&num=100	1	"""福田 吉次郎"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""福田吉次郎"" 訃報 死去"		—
fukuda-tomoyuki	福田 友之	active		2021	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%A6%8F%E7%94%B0%E5%8F%8B%E4%B9%8B&g=personalNames&num=100	1	"""福田 友之"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""福田友之"" 訃報 死去"	https://id.ndl.go.jp/auth/ndlna/01142584	—
fukuoka-itoko	福岡 イト子	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E7%A6%8F%E5%B2%A1%E3%82%A4%E3%83%88%E5%AD%90&g=personalNames&num=100	1	"""福岡 イト子"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""福岡イト子"" 訃報 死去"		—
furuhara-toshihiro	古原 敏弘	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%8F%A4%E5%8E%9F%E6%95%8F%E5%BC%98&g=personalNames&num=100	1	"""古原 敏弘"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""古原敏弘"" 訃報 死去"		—
furukawa-kyoko	古川 恭子	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%8F%A4%E5%B7%9D%E6%81%AD%E5%AD%90&g=personalNames&num=100	0	"""古川 恭子"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""古川恭子"" 訃報 死去"		—
gary-w-crawford	Gary W. Crawford	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Gary%20W.%20Crawford&g=personalNames&num=100	0	"""Gary W. Crawford"" (obituary OR died OR ""passed away"") | ""Gary W. Crawford"" obituary died"		—
gayman-jeffry	Jeffry Gayman	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Jeffry%20Gayman&g=personalNames&num=100	1	"""Jeffry Gayman"" (obituary OR died OR ""passed away"") | ""Jeffry Gayman"" obituary died"		—
genzo-sarashina	更科 源蔵	active	1985	1985	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%9B%B4%E7%A7%91%E6%BA%90%E8%94%B5&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11515150	—
georg-wilhelm-steller	Georg Wilhelm Steller	active	1746	1746	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Georg%20Wilhelm%20Steller&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q57222	—
george-john-simeon	George John Simeon	active			death_unconfirmed_identity_review	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=George%20John%20Simeon&g=personalNames&num=100	0	"""George John Simeon"" (obituary OR died OR ""passed away"") | ""George John Simeon"" obituary died"		George Simeonの既存2016年没レコードと家族訃報があるが、学位論文著者との同一性に追加確認が必要。
george-simeon	George Simeon	active	2016	2016	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=George%20Simeon&g=personalNames&num=100	0		https://www.wikidata.org/wiki/Q123263138	—
georgina-stevens	Georgina Stevens	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Georgina%20Stevens&g=personalNames&num=100	1	"""Georgina Stevens"" (obituary OR died OR ""passed away"") | ""Georgina Stevens"" obituary died"		—
girolamo-de-angelis	Girolamo De Angelis	active	1623	1623	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Girolamo%20De%20Angelis&g=personalNames&num=100	0		https://www.wikidata.org/wiki/Q525326	—
goro-shima	GORO SHIMA	active		1983	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=GORO%20SHIMA&g=personalNames&num=100	4	"""GORO SHIMA"" (obituary OR died OR ""passed away"") | ""GORO SHIMA"" obituary died"	https://id.ndl.go.jp/auth/ndlna/00354918	—
goto-toshio	後藤 利雄	active		2001	death_supported	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%BE%8C%E8%97%A4%E5%88%A9%E9%9B%84&g=personalNames&num=100	2	"""後藤 利雄"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""後藤利雄"" 訃報 死去"	https://id.ndl.go.jp/auth/ndlna/00006173	—
hachiya-mai	八谷 麻衣	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%85%AB%E8%B0%B7%E9%BA%BB%E8%A1%A3&g=personalNames&num=100	1	"""八谷 麻衣"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""八谷麻衣"" 訃報 死去"		—
haginaka-mie	萩中 美枝	active	2021	2021	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E8%90%A9%E4%B8%AD%E7%BE%8E%E6%9E%9D&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q55541603	—
hamada-takashi	浜田 隆史	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E6%B5%9C%E7%94%B0%E9%9A%86%E5%8F%B2&g=personalNames&num=100	1	"""浜田 隆史"" (訃報 OR 死去 OR 逝去 OR 生没年) | ""浜田隆史"" 訃報 死去"		—
haniwara-kazuro	埴原 和郎	active	2004	2004	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=%E5%9F%B4%E5%8E%9F%E5%92%8C%E9%83%8E&g=personalNames&num=100	1		https://www.wikidata.org/wiki/Q11426338	—
hans-a-dettmer	Hans A. Dettmer	active	2014	2014	existing_death_matches_wikidata	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Hans%20A.%20Dettmer&g=personalNames&num=100	0		https://www.wikidata.org/wiki/Q113399866	—
hans-dieter-olschleger	Hans Dieter Ölschleger	active			death_not_established	2026-09-05	https://id.ndl.go.jp/auth/ndlna/?qw=Hans%20Dieter%20%C3%96lschleger&g=personalNames&num=100	1	"""Hans Dieter Ölschleger"" (obituary OR died OR ""passed away"") | ""Hans Dieter Ölschleger"" obituary died"		—
