slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	note	sources_checked	next_step
dixon-j-m	ジェームズ・メイン・ディクソン	ジェームズ・メイン・ディクソン			James Main Dixon	James Main Dixon	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1390572175481744384	原語の表記・検索上の扱いを確認する。
batchelor-john	ジョン・バチラー	ジョン・バチラー			John Batchelor	John Batchelor	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1970023484896822467 | https://cir.nii.ac.jp/crid/1970023484965893927 | https://cir.nii.ac.jp/crid/1970586434861008829 | https://cir.nii.ac.jp/crid/1970867909767205543 | https://cir.nii.ac.jp/crid/1970867909791304067 | https://cir.nii.ac.jp/crid/1971149384776903983 | https://cir.nii.ac.jp/crid/1971149384887054114 | https://cir.nii.ac.jp/crid/1971430859730738826 | https://cir.nii.ac.jp/crid/1971712334751649212 | https://cir.nii.ac.jp/crid/1971712334807964182	原語の表記・検索上の扱いを確認する。
stephanie	ステファニー	ステファニー			Stephanie	Stephanie	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
jussi-nurmi	ヌルミ・ユッシ	ヌルミ・ユッシ			Jussi Nurmi	Jussi Nurmi	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1390018120873376768 | https://cir.nii.ac.jp/crid/1390576966668630784 | https://cir.nii.ac.jp/crid/1910306506429060864 | https://cir.nii.ac.jp/crid/1910587981405809536 | https://cir.nii.ac.jp/crid/1940587273586419968	原語の表記・検索上の扱いを確認する。
klara-chuda	フダー・クラーラ	フダー・クラーラ			Klára Chudá	Klára Chudá	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
penrek	ペンレㇰ	ペンレㇰ			Penrek	Penrek	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
poronay	ポロナイ	ポロナイ			Poronay	Poronay	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
john-c-maher	マーハ ジョン C.	マーハ ジョン C.			John C. Maher	John C. Maher	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1390282680748683904 | https://cir.nii.ac.jp/crid/1520290884106635264 | https://cir.nii.ac.jp/crid/1571698602508228608	原語の表記・検索上の扱いを確認する。
rariw	ラリウ	ラリウ			Rariw	Rariw	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
rikkoppe	リッコッペ	リッコッペ			Rikkoppe	Rikkoppe	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
retannay	レタンナイ	レタンナイ			Retannay	Retannay	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
p-1avld4w	中村 幽	中村 幽					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1390010457643957760 | https://cir.nii.ac.jp/crid/1390010457689486848 | https://cir.nii.ac.jp/crid/1390291932687395840 | https://cir.nii.ac.jp/crid/1390573407642898816 | https://cir.nii.ac.jp/crid/1390854882640806400	原著・著者紹介・所属機関資料を個別に調査する。
p-1prw9wa	中野 克良	中野 克良					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520026026862773248 | https://cir.nii.ac.jp/crid/1520303254976889728	原著・著者紹介・所属機関資料を個別に調査する。
nakano-yoshinobu	中野 良宣	中野 良宣			Nakano Yoshinobu	Nakano Yoshinobu	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520307501839949056 | https://cir.nii.ac.jp/crid/1520588976816231936 | https://cir.nii.ac.jp/crid/1522543655899488896 | https://cir.nii.ac.jp/crid/1523118991039427072	原著・著者紹介・所属機関資料を個別に調査する。
maruno-kazuko	丸野 和子	丸野 和子			Maruno Kazuko	Maruno Kazuko	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
cjyet-yo	于 拙	于 拙			Cjyet Yo	Cjyet Yo	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
igarashi-ryo	五十嵐 涼	五十嵐 涼			Igarashi Ryo	Igarashi Ryo	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1360306906080145280	原著・著者紹介・所属機関資料を個別に調査する。
iguchi-toshio	井口 利夫	井口 利夫			Iguchi Toshio	Iguchi Toshio	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1521980705069694720 | https://cir.nii.ac.jp/crid/1522262180101294336 | https://cir.nii.ac.jp/crid/1524232505626338304	原著・著者紹介・所属機関資料を個別に調査する。
p-1p7zrli	仙石 裕子	仙石 裕子					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520290884628221440 | https://cir.nii.ac.jp/crid/1520306440261944320	原著・著者紹介・所属機関資料を個別に調査する。
p-1pw3zjc	伊藤 初太郎	伊藤 初太郎					further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
sakuma-manabu	佐久間 学	佐久間 学			Manabu Sakuma	Manabu Sakuma	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
sato-genrokuro	佐藤 玄六郎	佐藤 玄六郎			Satō Genrokurō	Satō Genrokurō	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
saga-ayami	佐賀 彩美	佐賀 彩美			Saga Ayami	Saga Ayami	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520588976816208512 | https://cir.nii.ac.jp/crid/1522825129912596992 | https://cir.nii.ac.jp/crid/1522825130875984640	原著・著者紹介・所属機関資料を個別に調査する。
yae-masako	八重 昌子	八重 昌子			Yae Masako	Yae Masako	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
yae-kiyotoshi	八重 清敏	八重 清敏			Yae Kiyotoshi	Yae Kiyotoshi	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-1babm4k	兼俊明夫	兼俊明夫					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/2050588892098746752 | https://cir.nii.ac.jp/crid/2051714792005589632	原著・著者紹介・所属機関資料を個別に調査する。
kato-daiki	加藤 大樹	加藤 大樹			Katō Daiki	Katō Daiki	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
kitakaze-isokichi	北風 磯吉	北風 磯吉			Kitakaze Isokichi	Kitakaze Isokichi	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-3kz7ca	南 収	南 収				Minami Osamu	latin-evidence-only	同一著作のローマ字表記は確認したが、かな表記は未確認。	https://cir.nii.ac.jp/crid/1520010380184708864 | https://cir.nii.ac.jp/crid/1521136280067285632 | https://sapmed.repo.nii.ac.jp/record/7967/files/n0441079352103.pdf	本人または所属機関のかな表記を探す。
oikawa-akihiko	及川 明彦	及川 明彦			Oikawa Akihiko	Oikawa Akihiko	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1390573407643405056 | https://cir.nii.ac.jp/crid/1523388080072316288	原著・著者紹介・所属機関資料を個別に調査する。
yoshihara-katsumi	吉原 克己	吉原 克己			Yoshihara Katsumi	Yoshihara Katsumi	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
yoshimura-akio	吉村 明夫	吉村 明夫			Yoshimura Akio	Yoshimura Akio	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
yoshida-erika	吉田 恵理佳	吉田 恵理佳			Yoshida Erika	Yoshida Erika	latin-evidence-only	同一著作のローマ字表記は確認したが、かな表記は未確認。	https://cir.nii.ac.jp/crid/1390858608263680512	本人または所属機関のかな表記を探す。
p-1bcg76a	呉 松旆	呉 松旆			Wu Sung-Pei	Wu Sung-Pei	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520577741138402560 | https://cir.nii.ac.jp/crid/2120870839707312128	原著・著者紹介・所属機関資料を個別に調査する。
p-pfh2dq	土井 勝典	土井 勝典					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520588976816599296 | https://cir.nii.ac.jp/crid/1523388080830385920	原著・著者紹介・所属機関資料を個別に調査する。
p-113iutn	大場 秀夫	大場 秀夫					further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
ota-kamus-okkay	太田 カムㇱオッカイ	太田 カムㇱオッカイ			Ōta Kamus Okkay	Ōta Kamus Okkay	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
okuda-sachiko	奥田 幸子	奥田 幸子			Okuda Sachiko	Okuda Sachiko	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520582097807380736 | https://cir.nii.ac.jp/crid/1520863572783563008	原著・著者紹介・所属機関資料を個別に調査する。
mega-junya	女鹿 潤哉	女鹿 潤哉			Mega Jun’ya	Mega Jun’ya	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1390573407643405056 | https://cir.nii.ac.jp/crid/1523388080072316288	原著・著者紹介・所属機関資料を個別に調査する。
azumi-yasunori	安曇 恭徳	安曇 恭徳			Azumi Yasunori	Azumi Yasunori	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
miyazaki-kota	宮崎 耕太	宮崎 耕太			Miyazaki Kōta	Miyazaki Kōta	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1521699229967273856 | https://cir.nii.ac.jp/crid/1522825130151412736 | https://cir.nii.ac.jp/crid/1523951029594637440 | https://cir.nii.ac.jp/crid/1524232505631027200	原著・著者紹介・所属機関資料を個別に調査する。
ogawa-shigeno	小川 シゲノ	小川 シゲノ			Ogawa Shigeno	Ogawa Shigeno	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-1cy2d4k	小川 広	小川 広					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1524232505916433280 | https://cir.nii.ac.jp/crid/2051996266982299776	原著・著者紹介・所属機関資料を個別に調査する。
ogawa-masayo	小川 昌代	小川 昌代			Ogawa Masayo	Ogawa Masayo	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-1i159kw	小林 耕一	小林 耕一					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1521136280996294656 | https://cir.nii.ac.jp/crid/1523669555806264320	原著・著者紹介・所属機関資料を個別に調査する。
p-1i361g2	小柳 誠之	小柳 誠之					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1970867909764854682 | https://cir.nii.ac.jp/crid/1971430859729483161	原著・著者紹介・所属機関資料を個別に調査する。
yamaguchi-shinju	山口 伸樹	山口 伸樹					further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
yamada-hayo	山田 ハヨ	山田 ハヨ			Yamada Hayo	Yamada Hayo	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-1ktul8c	岡本 武雄	岡本 武雄					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520299318880615808 | https://cir.nii.ac.jp/crid/1522543655215877120	原著・著者紹介・所属機関資料を個別に調査する。
okada-yuki	岡田 勇樹	岡田 勇樹			Okada Yūki	Okada Yūki	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1050564288245717248 | https://cir.nii.ac.jp/crid/1520853834655788672	原著・著者紹介・所属機関資料を個別に調査する。
p-1r6enj9	岡部 方幾	岡部 方幾					further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
hirame-yoshi	平目 よし	平目 よし			Hirame Yoshi	Hirame Yoshi	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
hiraishi-kiyotaka	平石 清隆	平石 清隆			Hiraishi Kiyotaka	Hiraishi Kiyotaka	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
hirosawa	廣澤	廣澤			Hirosawa	Hirosawa	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1390307746620053632	原著・著者紹介・所属機関資料を個別に調査する。
tokutomi-kei	徳冨 圭	徳冨 圭			Tokutomi Kei	Tokutomi Kei	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-ynb2tw	徹辺 重次郎	徹辺 重次郎					further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-cgadvd	戸川 貴之	戸川 貴之				Togawa Takashi	latin-evidence-only	同一著作のローマ字表記は確認したが、かな表記は未確認。	https://cir.nii.ac.jp/crid/1040003825717858816 | https://hokkyodai.repo.nii.ac.jp/records/2000809	本人または所属機関のかな表記を探す。
p-gitgqw	打田 元輝	打田 元輝					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1522825130856630784 | https://cir.nii.ac.jp/crid/1970586434794925221	原著・著者紹介・所属機関資料を個別に調査する。
arai-kaori	新井 かおり	新井 かおり			Arai Kaori	Arai Kaori	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-12o91rj	木村 博海	木村 博海					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520573331043121664 | https://cir.nii.ac.jp/crid/1523388079769676032	原著・著者紹介・所属機関資料を個別に調査する。
p-14v1ctr	本田 克代	本田 克代					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1521136281223897600 | https://cir.nii.ac.jp/crid/1523669555403391360	原著・著者紹介・所属機関資料を個別に調査する。
p-11o400v	杉山 泰子	杉山 泰子					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520009410395735296 | https://cir.nii.ac.jp/crid/1523388080953444224	原著・著者紹介・所属機関資料を個別に調査する。
yi-chi-hang	李志恒	李志恒			Yi Chi-hang	Yi Chi-hang	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
murakami-keiji	村上 啓司	村上 啓司			Murakami Keiji	Murakami Keiji	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
matsushima-tomi	松島 トミ	松島 トミ			Matsushima Tomi	Matsushima Tomi	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
matsuno-ayaka	松野 綾香	松野 綾香			Matsuno Ayaka	Matsuno Ayaka	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
yokoyama-hiroyuki	横山 裕之	横山 裕之			Yokoyama Hiroyuki	Yokoyama Hiroyuki	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
yokohira-hiroshi	横平 弘	横平 弘			Yokohira Hiroshi	Yokohira Hiroshi	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1390855765239253760 | https://cir.nii.ac.jp/crid/1520010378542993408 | https://cir.nii.ac.jp/crid/1520291855496917888 | https://cir.nii.ac.jp/crid/1520291855750422784 | https://cir.nii.ac.jp/crid/1520291856293224192	原著・著者紹介・所属機関資料を個別に調査する。
ikeda-yuko	池田 裕子	池田 裕子			Yūko Ikeda	Yūko Ikeda	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-1dcznn	沖野 慎二	沖野 慎二					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520010381297495040 | https://cir.nii.ac.jp/crid/1522543655320849024	原著・著者紹介・所属機関資料を個別に調査する。
hamada-takashi	浜田 隆史	浜田 隆史			Hamada Takashi	Hamada Takashi	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
watanabe-kaori	渡邊香織	渡邊香織			Watanabe Kaori	Watanabe Kaori	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1390572174812262528 | https://cir.nii.ac.jp/crid/1390572175481745408	原著・著者紹介・所属機関資料を個別に調査する。
tazawa-takashi	田澤 崇	田澤 崇			Tazawa Takashi	Tazawa Takashi	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
todome-seiji	留目 政治	留目 政治			Todome Seiji	Todome Seiji	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
aihara-noriaki	相原 典明	相原 典明			Aihara Noriaki	Aihara Noriaki	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
ishikawa-mikaho	石川 美香穂	石川 美香穂			Mikaho Ishikawa	Mikaho Ishikawa	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
isobe-etsuko	磯部 恵津子	磯部 恵津子			Isobe Etsuko	Isobe Etsuko	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
kanzaki-masayoshi	神崎 雅好	神崎 雅好			Kanzaki Masayoshi	Kanzaki Masayoshi	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
akiyama-hidetoshi	秋山 秀敏	秋山 秀敏			Akiyama Hidetoshi	Akiyama Hidetoshi	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1521417755289615104 | https://cir.nii.ac.jp/crid/1521699229792631552 | https://cir.nii.ac.jp/crid/1521699230625620736 | https://cir.nii.ac.jp/crid/1522262180557541760 | https://cir.nii.ac.jp/crid/1522825131084007040 | https://cir.nii.ac.jp/crid/1523106605852573824 | https://cir.nii.ac.jp/crid/1523669553298389248 | https://cir.nii.ac.jp/crid/1524232504640359040	原著・著者紹介・所属機関資料を個別に調査する。
inagaki-katsuhiko	稲垣 克彦	稲垣 克彦			Inagaki Katsuhiko	Inagaki Katsuhiko	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
kunen	空念	空念			Kunen	Kunen	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
shinohara-chika	篠原 智花	篠原 智花			Shinohara Chika	Shinohara Chika	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
yoneda-noriyuki	米田 儀行	米田 儀行			Yoneda Noriyuki	Yoneda Noriyuki	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-zxb1g8	若林 和夫	若林 和夫					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1523669555091690112 | https://cir.nii.ac.jp/crid/1524232504668213248	原著・著者紹介・所属機関資料を個別に調査する。
kanno-yuko	菅野 由布子	菅野 由布子			Kanno Yūko	Kanno Yūko	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-3u7nms	袖上生	袖上生					further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
p-kbsdtj	西﨑 専一	西﨑 専一					catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1520290882240269952 | https://cir.nii.ac.jp/crid/1520290883606394496	原著・著者紹介・所属機関資料を個別に調査する。
taniguchi-mamoru	谷口 守	谷口 守			Mamoru Taniguchi	Mamoru Taniguchi	catalogue-pass-only	登録著作のCiNiiメタデータ照合では採用できるかなを確認できなかった。個別調査は未完了。	https://cir.nii.ac.jp/crid/1390013352874073216 | https://cir.nii.ac.jp/crid/1390013352874076544 | https://cir.nii.ac.jp/crid/1390013352874120064 | https://cir.nii.ac.jp/crid/1390014093904331392 | https://cir.nii.ac.jp/crid/1390294827850835200 | https://cir.nii.ac.jp/crid/1390862467736193920 | https://cir.nii.ac.jp/crid/1390870297797436544	原著・著者紹介・所属機関資料を個別に調査する。
kaizawa-turushino	貝澤 とぅるしの	貝澤 とぅるしの			Kaizawa Turushino	Kaizawa Turushino	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
toshima-taneranke	遠島 タネランケ	遠島 タネランケ			Tōshima Taneranke	Tōshima Taneranke	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
