slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	note	sources
narita-hidetoshi	成田 英敏	成田 英敏		なりた ひでとし	Narita Hidetoshi	Narita Hidetoshi	verified	CiNii著者典拠にナリタ ヒデトシ。カムイユカラ絵本の画者と一致。	https://ci.nii.ac.jp/author/DA09629086
sawai-harumi	澤井 春美	澤井 春美		さわい はるみ	Sawai Harumi	Sawai Harumi	verified	CiNii著者典拠にサワイ ハルミ。沢井トメノの十勝方言語彙集と一致。	https://ci.nii.ac.jp/author/DA15148093
nana-sato-rossberg	佐藤 ロスベアグ ナナ	佐藤 ロスベアグ ナナ		さとう ロスベアグ ナナ	Nana Sato-Rossberg	Nana Sato-Rossberg	verified	日文研の受入研究員名簿にサトウ＝ロスベアグ・ナナ。ロンドン大学翻訳学研究者と照合。	https://www.nichibun.ac.jp/ja/research/uploads/pdf/Visiting_research_fellows_230401.pdf
minami-noriyuki	南 哲行	南 哲行		みなみ のりゆき	Noriyuki Minami	Noriyuki Minami	verified	所属機関刊行物の署名にふりがな。砂防・災害研究者として一致。	https://www.stc.or.jp/journal_sabo/pdf/art_129/129_03_mirai.pdf
takegahara-yukio	竹ケ原 幸朗	竹ケ原 幸朗		たけがはら ゆきお	Takegahara Yukio	Takegahara Yukio	verified	出版社提供書誌に『タケガハラ ユキオ ケンキュウ シュウセイ』。本人著作集の読みで確認。	https://www.hanmoto.com/bd/isbn/9784784517022
p-z25ghv	是澤 櫻子	是澤 櫻子		これさわ さくらこ	Koresawa Sakurako	Koresawa Sakurako	verified	本人・所属機関または原著論文の著者表記で確認。 研究者登録にコレサワ サクラコ。国立アイヌ民族博物館所属・ロシア先住民研究で照合。	https://eprints.lib.hokudai.ac.jp/repo/huscap/all/91266/03_4_Koresawa.pdf | https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202201015470073673
p-1w11480	浜守 杏奈	浜守 杏奈		はまもり あんな	Hamamori Anna	Hamamori Anna	verified	当該論文の英文著者名。大学の別資料に矛盾するカナがあり、カナは保留。 大学教員一覧にハマモリ アンナ。食文化研究者と照合。	https://jissen.repo.nii.ac.jp/record/2545/files/%E7%94%9F%E6%B4%BB%E7%A7%91%E5%AD%A660-6.pdf | https://gakujyo.bunkyo.ac.jp/bnkhp/KgApp/k02/syozoku/2158001501
ma-changcheng	馬 長城	馬 長城		ま ちょうじょう	Ma Changcheng	Ma Changcheng	verified	本人研究者登録に日本語読みマ チョウジョウ。中国語原語名の発音とは区別。	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202201013896912785
p-1geswer	石橋 俊實	石橋 俊實		いしばし としみ		Ishibashi Toshimi	verified	退官記念論文集の著者標目にイシバシ トシミ。北大精神医学から東北大に移った教授と照合。	https://ci.nii.ac.jp/ncid/BN03776185?l=en
baba-yumi	馬場 裕美	馬場 裕美		ばば ゆみ	Baba Yumi	Baba Yumi	verified	研究者登録にババ ユミ。アイヌ熊送り説話研究と一致。	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202501004645547541
takahashi-motoi	高橋 基	高橋 基		たかはし もとい	Motoi Takahashi	Motoi Takahashi	verified	旭川市アイヌ語地名表記推進懇談会名簿にふりがな。	https://www.city.asahikawa.hokkaido.jp/hakubutukan/kenkyuu/d053440_d/fil/meibo.pdf
p-1nen1vw	島津 礼子	島津 礼子		しまず れいこ	Shimazu Reiko	Shimazu Reiko	verified	登録論文『先住民アイヌの知識，自然観と持続可能性 : アイヌの口承文芸に焦点を当てて』の著者ローマ字表記。かな表記は未確認。 CiNii著者典拠にシマズ レイコ。西日本のアイヌ学習調査と一致。	https://cir.nii.ac.jp/crid/1390009224858117376 | https://ci.nii.ac.jp/author/DA19167045
p-12syzn8	柳下 み咲	柳下 み咲		やなぎした みさき		Yanagishita Misaki	verified	都立図書館の内容細目に著者読みヤナギシタ ミサキ。アイヌ関連論文と照合。	https://catalog.library.metro.tokyo.lg.jp/winj/opac/switch-detail.do?bibid=1102059503&lang=ja
sato-sachiko	佐藤 幸子	佐藤 幸子		さとう さちこ	Sachiko Satō	Sachiko Satō	verified	大学研究者総覧にサトウ サチコ。アイヌ食文化論文と一致。	https://gyoseki.jissen.ac.jp/profile/ja.8d0c45228fec679e.html?mode=pc
abe-chozaburo	阿部 長三郎	阿部 長三郎		あべ ちょうざぶろう	Abe Chozaburo	Abe Chozaburo	verified	『藻汐草』の著者標目にアベ チョウザブロウ。	https://ci.nii.ac.jp/ncid/BA6855534X
itakura-genjiro	板倉 源次郎	板倉 源次郎		いたくら げんじろう	Itakura Genjiro	Itakura Genjiro	verified	道立図書館『北海随筆』原本レコードにイタクラ ゲンジロウ。	https://www3.library.pref.hokkaido.jp/detail/5069
shoku-tenrei	天嶺性空	天嶺性空		てんれい しょうくう	Shoku Tenrei	Tenrei Shōkū	verified	CiNii著者典拠にテンレイ ショウクウ。仏教人名規範の日本語読みも同じ。	https://ci.nii.ac.jp/author/DA16268330
p-1fxhyqx	瀧下 史	瀧下 史		たきした ふみ	Takishita Fumi	Takishita Fumi	verified	登録論文『日本の多文化教育における地名学習の受容に関する一考察 : 関東地方のアイヌ語地名を例として(英語教育)』の著者ローマ字表記。かな表記は未確認。 登録論文の著者メタデータにタキシタ フミ。漢字・英文著者名・共著者で照合。	https://cir.nii.ac.jp/crid/1571698602508228608 | https://cir.nii.ac.jp/crid/1390009224890896896
kido-shirabe	木戸 調	木戸 調		きど しらべ	Kido Shirabe	Kido Shirabe	verified	登録論文の著者ローマ字Kido Shirabeをかなに転記。	https://cir.nii.ac.jp/crid/1390572174842303232
p-15abopl	松浦 孝平	松浦 孝平		まつうら こうへい	Kohei Matsuura	Kohei Matsuura	verified	登録論文の署名Kohei Matsuuraをかなに転記。	https://www.jstage.jst.go.jp/article/jnlp/28/3/28_824/_pdf
furukawa-kyoko	古川 恭子	村崎 恭子		むらさき きょうこ	Furukawa Kyōko	Murasaki Kyōko	merged	旧姓のレコードを統合。4件の資料クレジットを保持。旧URLから転送。	https://src-h.slav.hokudai.ac.jp/jp/news/174/CNews174.pdf | https://eprints.lib.hokudai.ac.jp/repo/huscap/all/53479/55Murasaki.pdf
