slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	sources	note
mogami-tokunai	最上 徳内	最上 徳内			Mogami Tokunai	Mogami Tokunai	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
uehara-kumajiro	上原 熊次郎	上原 熊次郎			Uehara Kumajirō	Uehara Kumajirō	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
abe-chozaburo	阿部 長三郎	阿部 長三郎			Abe Chozaburo	Abe Chozaburo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
vasily-golovnin	Vasily Golovnin	Vasily Golovnin			Vasily Golovnin	Vasily Golovnin	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
ilya-g-voznesensky	Ilya G. Voznesensky	Ilya G. Voznesensky			Voznesensky, Ilya G.	Voznesensky, Ilya G.	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
mikhail-mikhailovich-dobrotvorsky	M.M. ドブロトゥヴォールスキー	M.M. ドブロトゥヴォールスキー			Mikhail Mikhailovich Dobrotvorsky	Mikhail Mikhailovich Dobrotvorsky	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
shichisaburo-mizushina	Shichisaburo Mizushina	Shichisaburo Mizushina			Shichisaburo Mizushina	Shichisaburo Mizushina	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
shozaburo-kanazawa	金沢 庄三郎	金沢 庄三郎		かなざわ しょうざぶろう	Kanazawa Shōzaburō	Kanazawa Shōzaburō	verified-update	https://id.ndl.go.jp/auth/ndlna/00026011	姓名と生年が一致するNDL典拠の読み。
ryuzo-torii	鳥居 龍藏	鳥居 龍藏			Ryūzō Torii	Ryūzō Torii	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
batchelor-john	ジョン・バチラー	ジョン・バチラー			John Batchelor	John Batchelor	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yamabe-yasunosuke	山辺 安之助	山辺 安之助		やまべ やすのすけ	Yamabe Yasunosuke	Yamabe Yasunosuke	verified-update	https://id.ndl.go.jp/auth/ndlna/00091807	姓名と生年が一致するNDL典拠の読み。
kindaichi-kyosuke	金田一 京助	金田一 京助		きんだいち きょうすけ	Kindaichi Kyosuke	Kindaichi Kyosuke	verified-update	https://id.ndl.go.jp/auth/ndlna/00031353	姓名と生年が一致するNDL典拠の読み。
chiri-mashiho	知里 真志保	知里 真志保		ちり ましほ	Chiri Mashiho	Chiri Mashiho	verified-update	https://id.ndl.go.jp/auth/ndlna/00084154	姓名と生年が一致するNDL典拠の読み。
wada-bunjiro	和田 文治郎	和田 文治郎			Wada Bunjiro	Wada Bunjiro	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
tamura-suzuko	田村 すゞ子	田村 すゞ子		たむら すずこ	Tamura Suzuko	Tamura Suzuko	verified-update	https://id.ndl.go.jp/auth/ndlna/00081129	姓名と生年が一致するNDL典拠の読み。
hattori-shiro	服部 四郎	服部 四郎		はっとり しろう	Hattori Shiro	Hattori Shiro	verified-update	https://id.ndl.go.jp/auth/ndlna/00009116	姓名と生年が一致するNDL典拠の読み。
mike-wright	Mike Wright	Mike Wright			Mike Wright	Mike Wright	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
alexander-vovin	Alexander Vovin	Alexander Vovin			Alexander Vovin	Alexander Vovin	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
nakagawa-hiroshi	中川 裕	中川 裕		なかがわ ひろし	Nakagawa Hiroshi	Nakagawa Hiroshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00203799	姓名と生年が一致するNDL典拠の読み。
issan-uoi	Issan Uoi	Issan Uoi			Issan Uoi	Issan Uoi	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kayano-shigeru	萱野 茂	萱野 茂		かやの しげる	Kayano Shigeru	Kayano Shigeru	verified-update	https://id.ndl.go.jp/auth/ndlna/00030008	姓名と生年が一致するNDL典拠の読み。
nobue-chiba	Nobue Chiba	Nobue Chiba			Nobue Chiba	Nobue Chiba	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
alexander-yu-akulov	Alexander Yu. Akulov	Alexander Yu. Akulov			Alexander Yu. Akulov	Alexander Yu. Akulov	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
wikipedia-contributors	Wikipedia contributors	Wikipedia contributors			Wikipedia contributors	Wikipedia contributors	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
bugaeva-anna	アンナ・ブガエワ	アンナ・ブガエワ			Anna Bugaeva	Anna Bugaeva	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
moriyo-shimabukuro	Moriyo Shimabukuro	Moriyo Shimabukuro			Moriyo Shimabukuro	Moriyo Shimabukuro	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
asjp-consortium	ASJP Consortium (Wichmann et al.)	ASJP Consortium (Wichmann et al.)			ASJP Consortium (Wichmann et al.)	ASJP Consortium (Wichmann et al.)	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
dellert-johannes-et-al	Dellert, Johannes et al.	Dellert, Johannes et al.			Dellert, Johannes et al.	Dellert, Johannes et al.	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
simon-ager	Simon Ager	Simon Ager			Simon Ager	Simon Ager	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
takashi-tomita	Takashi Tomita	Takashi Tomita			Takashi Tomita	Takashi Tomita	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
mitsuru-ota	太田 満	太田 満		おおた みつる	Ōta Mitsuru	Ōta Mitsuru	verified-update	https://id.ndl.go.jp/auth/ndlna/032572861	既存の人物同定で照合したNDL典拠の読み。
ijas-silja	イヤス シリヤ	イヤス シリヤ			Ijas Silja	Ijas Silja	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
igor-garshin	Igor Garshin	Igor Garshin			Igor Garshin	Igor Garshin	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
wiktionary-contributors	Wiktionary contributors	Wiktionary contributors			Wiktionary contributors	Wiktionary contributors	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
loanwordbank-contributors	Loanwordbank contributors	Loanwordbank contributors			Loanwordbank contributors	Loanwordbank contributors	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
english-wiktionary	English Wiktionary	English Wiktionary			English Wiktionary	English Wiktionary	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
murasaki	Murasaki	Murasaki			Murasaki	Murasaki	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
shibatani-masayoshi	Shibatani Masayoshi	Shibatani Masayoshi			Shibatani Masayoshi	Shibatani Masayoshi	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
hokkaido-utari-kyokai	Hokkaido Utari Kyokai	Hokkaido Utari Kyokai			Hokkaido Utari Kyokai	Hokkaido Utari Kyokai	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
fukazawa-mika	深澤 美香	深澤 美香		ふかざわ みか	Fukazawa Mika	Fukazawa Mika	verified-update	https://id.ndl.go.jp/auth/ndlna/034109763	登録著作と同じ著作を出典とするNDL典拠の読み。
ninjal	NINJAL	NINJAL			NINJAL	NINJAL	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
kishimoto-yoshihisa	岸本 宜久	岸本 宜久			Kishimoto Yoshihisa	Kishimoto Yoshihisa	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yoshikawa-yoshimi	吉川 佳見	吉川 佳見			Yoshikawa Yoshimi	Yoshikawa Yoshimi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kirikae-hideo	切替 英雄	切替 英雄		きりかえ ひでお	Kirikae Hideo	Kirikae Hideo	verified-update	https://id.ndl.go.jp/auth/ndlna/00196544	登録著作と同じ著作を出典とするNDL典拠の読み。
otani-yoichi	大谷洋一	大谷洋一			Ōtani Yōichi	Ōtani Yōichi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
tangiku-itsuji	丹菊 逸治	丹菊 逸治			Tangiku Itsuji	Tangiku Itsuji	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yoshida-erika	吉田 恵理佳	吉田 恵理佳			Yoshida Erika	Yoshida Erika	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
dal-corso-elia	Dal Corso Elia	Dal Corso Elia			Dal Corso Elia	Dal Corso Elia	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
echizenya-hiroshi	越前谷 博	越前谷 博			Echizenya Hiroshi	Echizenya Hiroshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sakaguchi-ryo	阪口 諒	阪口 諒			Sakaguchi Ryo	Sakaguchi Ryo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
nowakowski-karol	Nowakowski Karol	Nowakowski Karol			Nowakowski Karol	Nowakowski Karol	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
ma-changcheng	馬 長城	馬 長城			Ma Changcheng	Ma Changcheng	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yasuoka-koichi	安岡 孝一	安岡 孝一		やすおか こういち	Yasuoka Koichi	Yasuoka Koichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00257623	既存の人物同定で照合したNDL典拠の読み。
yasuoka-motoko	安岡 素子	安岡 素子		やすおか もとこ	Yasuoka Motoko	Yasuoka Motoko	verified-update	https://id.ndl.go.jp/auth/ndlna/00763524	既存の人物同定で照合したNDL典拠の読み。
takahashi-yasushige	高橋 靖以	高橋 靖以	たかはし やすしげ	たかはし やすしげ	Takahashi Yasushige	Takahashi Yasushige	existing-kana		既存のかなを保持。
okuda-osami	奥田 統己	奥田 統己		おくだ おさみ	Okuda Osami	Okuda Osami	verified-update	https://id.ndl.go.jp/auth/ndlna/00675445	姓名と生年が一致するNDL典拠の読み。
senuma-hajime	Senuma Hajime	Senuma Hajime			Senuma Hajime	Senuma Hajime	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
aizawa-akiko	Aizawa Akiko	Aizawa Akiko			Aizawa Akiko	Aizawa Akiko	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
fujita-mamoru	藤田護	藤田護			Fujita Mamoru	Fujita Mamoru	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
watanabe-kaori	渡邊香織	渡邊香織			Watanabe Kaori	Watanabe Kaori	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kobayashi-miki	小林 美紀	小林 美紀			Kobayashi Miki	Kobayashi Miki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yamaguchi-shinju	山口 伸樹	山口 伸樹					reading-unresolved		確定読みの裏付けを未確認。
miyagawa-so	宮川 創	宮川 創		みやがわ そう	Miyagawa So	Miyagawa So	verified-update	https://id.ndl.go.jp/auth/ndlna/031230426	姓名と生年が一致するNDL典拠の読み。
igarashi-ryo	五十嵐 涼	五十嵐 涼			Igarashi Ryo	Igarashi Ryo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kato-daiki	加藤 大樹	加藤 大樹			Katō Daiki	Katō Daiki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
murasaki-kyoko	村崎 恭子	村崎 恭子		むらさき きょうこ	Murasaki Kyōko	Murasaki Kyōko	verified-update	https://id.ndl.go.jp/auth/ndlna/00048879	姓名と生年が一致するNDL典拠の読み。
hirosawa	廣澤	廣澤			Hirosawa	Hirosawa	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
cjyet-yo	于 拙	于 拙			Cjyet Yo	Cjyet Yo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
nikitina-tatiana	Nikitina Tatiana	Nikitina Tatiana			Nikitina Tatiana	Nikitina Tatiana	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
ochiai-izumi	落合いずみ	落合いずみ			Ochiai Izumi	Ochiai Izumi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
shirasawa-nabe	白沢ナベ	白沢ナベ		しらさわ なべ	Nabe Shirasawa	Nabe Shirasawa	verified-update	https://id.ndl.go.jp/auth/ndlna/00361593	姓名と生年が一致するNDL典拠の読み。
izutsu-katsunobu	井筒 勝信	井筒 勝信		いずつ かつのぶ	Izutsu Katsunobu	Izutsu Katsunobu	verified-update	https://id.ndl.go.jp/auth/ndlna/01070841	既存の人物同定で照合したNDL典拠の読み。
azumi-yasunori	安曇 恭徳	安曇 恭徳			Azumi Yasunori	Azumi Yasunori	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
momouchi-yoshio	桃内 佳雄	桃内 佳雄			Momouchi Yoshio	Momouchi Yoshio	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
itabashi-yoshizo	板橋 義三	板橋 義三		いたばし よしぞう	Itabashi Yoshizo	Itabashi Yoshizo	verified-update	https://id.ndl.go.jp/auth/ndlna/00202758	姓名と生年が一致するNDL典拠の読み。
tamura-masashi	田村 雅史	田村 雅史			Tamura Masashi	Tamura Masashi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
baek-sangyub	Baek Sangyub	Baek Sangyub			Baek Sangyub	Baek Sangyub	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
ptaszynski-michal	Michał Ptaszyński	Michał Ptaszyński			Michał Ptaszyński	Michał Ptaszyński	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
ono-yohei	小野洋平	小野洋平			Ono Yohei	Ono Yohei	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
barrie-michael	Barrie Michael	Barrie Michael			Barrie Michael	Barrie Michael	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
mathieu-eric	Mathieu Éric	Mathieu Éric			Mathieu Éric	Mathieu Éric	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
klara-chuda	フダー・クラーラ	フダー・クラーラ			Klára Chudá	Klára Chudá	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yoshimoto-yuko	吉本 裕子	吉本 裕子			Yoshimoto Yūko	Yoshimoto Yūko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
nam-deokhyun	Nam Deokhyun	Nam Deokhyun			Nam Deokhyun	Nam Deokhyun	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
jussi-nurmi	ヌルミ・ユッシ	ヌルミ・ユッシ			Jussi Nurmi	Jussi Nurmi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
furukawa-kyoko	古川 恭子	古川 恭子			Furukawa Kyōko	Furukawa Kyōko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
endo-shiho	遠藤 志保	遠藤 志保			Endo Shiho	Endo Shiho	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
nakai-takanori	中井 貴規	中井 貴規			Nakai Takanori	Nakai Takanori	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sugawara-katsukichi	菅原 勝吉	菅原 勝吉			Sugawara Katsukichi	Sugawara Katsukichi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
shimokura-emi	下倉 絵美	下倉 絵美			Shimokura Emi	Shimokura Emi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-yiokn0	鹿田 川見	鹿田 川見					reading-unresolved		確定読みの裏付けを未確認。
nakamoto-mutsuko	中本 ムツ子	中本 ムツ子		なかもと むつこ	Mutsuko Nakamoto	Mutsuko Nakamoto	verified-update	https://id.ndl.go.jp/auth/ndlna/00533242	姓名と生年が一致するNDL典拠の読み。
sawai-masatoshi	澤井 政敏	澤井 政敏			Sawai Masatoshi	Sawai Masatoshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sugawara-katsuyoshi	菅原 勝良	菅原 勝良			Sugawara Katsuyoshi	Sugawara Katsuyoshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
oshino-akemi	押野 朱美	押野 朱美			Oshino Akemi	Oshino Akemi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
oshino-rika	押野 里架	押野 里架			Oshino Rika	Oshino Rika	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kuzuno-tsugio	葛野 次雄	葛野 次雄			Tsugio Kuzuno	Tsugio Kuzuno	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
akibe-tokuhei	秋辺 得平	秋辺 得平		あきべ とくへい	Tokuhei Akibe	Tokuhei Akibe	verified-update	https://id.ndl.go.jp/auth/ndlna/00382740	姓名と生年が一致するNDL典拠の読み。
ueno-sada	上野 サダ	上野 サダ			Ueno Sada	Ueno Sada	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
hori-etsuko	堀 悦子	堀 悦子			Hori Etsuko	Hori Etsuko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
takagi-kikue	高木 喜久恵	高木 喜久恵			Takagi Kikue	Takagi Kikue	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
katayama-hiroko	片山 弘子	片山 弘子			Katayama Hiroko	Katayama Hiroko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
nakano-tomoe	中野 巴	中野 巴			Nakano Tomoe	Nakano Tomoe	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
sekine-maya	関根 摩耶	関根 摩耶			Sekine Maya	Sekine Maya	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kumagai-kane	熊谷 カネ	熊谷 カネ			Kumagai Kane	Kumagai Kane	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kawakami-yoko	川上 容子	川上 容子			Kawakami Yōko	Kawakami Yōko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kimura-rino	木村 梨乃	木村 梨乃			Kimura Rino	Kimura Rino	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
takiguchi-yumi	瀧口 夕美	瀧口 夕美		たきぐち ゆみ	Takiguchi Yūmi	Takiguchi Yūmi	verified-update	https://id.ndl.go.jp/auth/ndlna/001303277	既存の人物同定で照合したNDL典拠の読み。
p-1g3g6l0	山丸 賢雄	山丸 賢雄		やままる けんゆう		Yamamaru Ken’yū	verified-update	https://www.ff-ainu.or.jp/radio/files/H29%E3%83%86%E3%82%AD%E3%82%B9%E3%83%88Vol.1.pdf	講師プロフィールのふりがなで確認。NDLの推量読みを独立に裏付け。
p-1cnoo6r	増野 光	増野 光教		ますの みつのり		Masuno Mitsunori	verified-update	https://www.ff-ainu.or.jp/radio/files/00-1.pdf https://www.ff-ainu.or.jp/web/overview/business/details/1273.html	資料中の完全な姓名は増野光教。欠けていた教の字を復元。
kayano-shiro	萱野 志朗	萱野 志朗		かやの しろう	Shirō Kayano	Shirō Kayano	verified-update	https://id.ndl.go.jp/auth/ndlna/00188612	登録著作と同じ著作を出典とするNDL典拠の読み。
sekine-kenji	関根 健司	関根 健司			Sekine Kenji	Sekine Kenji	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kawakami-megumi	川上 恵	川上 恵			Kawakami Megumi	Kawakami Megumi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
okamoto-tomoya	岡本 朋也	岡本 朋也			Okamoto Tomoya	Okamoto Tomoya	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
hachiya-mai	八谷 麻衣	八谷 麻衣			Hachiya Mai	Hachiya Mai	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1j8u2n8	上武 和臣	上武 和臣		うえたけ かずとみ		Uetake Kazutomi	verified-update	https://www.ff-ainu.or.jp/radio/files/01-4.pdf	講師プロフィールのふりがな。
osuga-rueko	大須賀 るえ子	大須賀 るえ子			Ōsuga Rueko	Ōsuga Rueko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kimura-taeko	木村 多栄子	木村 多栄子			Kimura Taeko	Kimura Taeko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
asai-take	浅井 タケ	浅井 タケ		あさい たけ	Take Asai	Take Asai	verified-update	https://id.ndl.go.jp/auth/ndlna/00869099	姓名と生年が一致するNDL典拠の読み。
mokottunas-kitahara	北原 モコットゥナㇱ	北原 モコットゥナㇱ			Kitahara Mokottunas	Kitahara Mokottunas	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-157hhhq	クスリコヤ	クスリコヤ					reading-unresolved		確定読みの裏付けを未確認。
p-ynb2tw	徹辺 重次郎	徹辺 重次郎					reading-unresolved		確定読みの裏付けを未確認。
yamada-hayo	山田 ハヨ	山田 ハヨ			Yamada Hayo	Yamada Hayo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kitakaze-isokichi	北風 磯吉	北風 磯吉			Kitakaze Isokichi	Kitakaze Isokichi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
fujiyama-haru	藤山 ハル	藤山 ハル		ふじやま はる	Haru Fujiyama	Haru Fujiyama	verified-update	https://id.ndl.go.jp/auth/ndlna/01199055	姓名と生年が一致するNDL典拠の読み。
nagahama-seizo	長濱 清蔵	長濱 清蔵			Nagahama Seizō	Nagahama Seizō	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
araida-seino	新井田 セイノ	新井田 セイノ			Seino Araida	Seino Araida	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yoshimura-fuyuko	吉村 冬子	吉村 冬子			Yoshimura Fuyuko	Yoshimura Fuyuko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kawakami-matsuko	川上 まつ子	川上 まつ子		かわかみ まつこ	Kawakami Matsuko	Kawakami Matsuko	verified-update	https://id.ndl.go.jp/auth/ndlna/00157200	既存の人物同定で照合したNDL典拠の読み。
kuzuno-daiki	葛野 大喜	葛野 大喜			Kuzuno Daiki	Kuzuno Daiki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kano-rumiko	加納 ルミ子	加納 ルミ子			Kanō Rumiko	Kanō Rumiko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yae-kiyotoshi	八重 清敏	八重 清敏			Yae Kiyotoshi	Yae Kiyotoshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
ishikawa-mikaho	石川 美香穂	石川 美香穂			Mikaho Ishikawa	Mikaho Ishikawa	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
yonezawa-ryo	米澤 諒	米澤 諒			Yonezawa Ryō	Yonezawa Ryō	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
ogawa-sanae	小川 早苗	小川 早苗		おがわ さなえ	Ogawa Sanae	Ogawa Sanae	verified-update	https://id.ndl.go.jp/auth/ndlna/01197806	既存の人物同定で照合したNDL典拠の読み。
hayasaka-shun	早坂 駿	早坂 駿			Hayasaka Shun	Hayasaka Shun	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kaizawa-miwako	貝澤 美和子	貝澤 美和子			Kaizawa Miwako	Kaizawa Miwako	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
amanai-shigeki	天内 重樹	天内 重樹			Amanai Shigeki	Amanai Shigeki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
okada-yuki	岡田 勇樹	岡田 勇樹			Okada Yūki	Okada Yūki	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
hiraga-sada	平賀 サダ	平賀 サダ		ひらが さだ	Hiraga Sada	Hiraga Sada	verified-update	https://id.ndl.go.jp/auth/ndlna/00386334	既存の人物同定で照合したNDL典拠の読み。
oda-ito	小田 イト	小田 イト		おだ いと	Ito Oda	Ito Oda	verified-update	https://id.ndl.go.jp/auth/ndlna/00266318	姓名と生年が一致するNDL典拠の読み。
kimura-kimi	木村 きみ	木村 きみ			Kimura Kimi	Kimura Kimi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
