slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	note	sources_checked	next_step
dixon-j-m	ジェームズ・メイン・ディクソン	ジェームズ・メイン・ディクソン			James Main Dixon	James Main Dixon	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1390572175481744384	原語の表記・検索上の扱いを確認する。
batchelor-john	ジョン・バチラー	ジョン・バチラー			John Batchelor	John Batchelor	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1970023484896822467 | https://cir.nii.ac.jp/crid/1970023484965893927 | https://cir.nii.ac.jp/crid/1970586434861008829 | https://cir.nii.ac.jp/crid/1970867909767205543 | https://cir.nii.ac.jp/crid/1970867909791304067 | https://cir.nii.ac.jp/crid/1971149384776903983 | https://cir.nii.ac.jp/crid/1971149384887054114 | https://cir.nii.ac.jp/crid/1971430859730738826 | https://cir.nii.ac.jp/crid/1971712334751649212 | https://cir.nii.ac.jp/crid/1971712334807964182	原語の表記・検索上の扱いを確認する。
stephanie	ステファニー	ステファニー			Stephanie	Stephanie	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
jussi-nurmi	ヌルミ・ユッシ	ヌルミ・ユッシ			Jussi Nurmi	Jussi Nurmi	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1390018120873376768 | https://cir.nii.ac.jp/crid/1390576966668630784 | https://cir.nii.ac.jp/crid/1910306506429060864 | https://cir.nii.ac.jp/crid/1910587981405809536 | https://cir.nii.ac.jp/crid/1940587273586419968	原語の表記・検索上の扱いを確認する。
klara-chuda	フダー・クラーラ	フダー・クラーラ			Klára Chudá	Klára Chudá	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
penrek	ペンレㇰ	ペンレㇰ			Penrek	Penrek	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
poronay	ポロナイ	ポロナイ			Poronay	Poronay	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
john-c-maher	マーハ ジョン C.	マーハ ジョン C.			John C. Maher	John C. Maher	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。	https://cir.nii.ac.jp/crid/1390282680748683904 | https://cir.nii.ac.jp/crid/1520290884106635264 | https://cir.nii.ac.jp/crid/1571698602508228608	原語の表記・検索上の扱いを確認する。
rariw	ラリウ	ラリウ			Rariw	Rariw	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
rikkoppe	リッコッペ	リッコッペ			Rikkoppe	Rikkoppe	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
retannay	レタンナイ	レタンナイ			Retannay	Retannay	phonetic-name	表示名は既に音写・かな表記。かな専用欄は空欄。		原語の表記・検索上の扱いを確認する。
p-1avld4w	中村 幽	中村 幽					no-printed-reading	1941年『紀伊考古』連載の著者。和歌山の郷土史料に読み仮名の印刷は見つからなかった。	https://sitereports.nabunken.go.jp/en/article/41564	原典(紙面・紀要原本)での確認のみ残る。
p-1prw9wa	中野 克良	中野 克良					no-printed-reading	『アイヌ語地名研究』（北海道出版企画センター）の常連寄稿者。J-GLOBAL・KAKEN・法政大学アイヌ語地名研究DBにも読みなし。	https://cir.nii.ac.jp/crid/1522825130856843776	原典(紙面・紀要原本)での確認のみ残る。
nakano-yoshinobu	中野 良宣	中野 良宣			Nakano Yoshinobu	Nakano Yoshinobu	identity-unconfirmed	ツール・ド・北海道2019テクニカルガイド職員リスト「安田 和恵・中野 良宣・松田 健吾・岡部 克・岡部 美知子 / YASUDA Kazue, NAKANO Yoshinobu, MATSUDA Kengo, OKABE Masaru, OKABE Michiko」 このレース獣医の中野良宣は北海道の獣医研究者（酪農学園大・家畜保健衛生所、空知勤務歴あり）。地名論文（栗山町＝空知管内など）との地	https://www.tour-de-hokkaido.or.jp/files/information/69/2019%20technicalguide.pdf https://www.jstage.jst.go.jp/article/jvma/66/7/66_463/_article/-char/ja/	同一人物の裏付けが取れれば読みを採用できる。
p-1p7zrli	仙石 裕子	仙石 裕子					no-printed-reading	二風谷小学校教員。講座案内・ラジオ番組表・アイヌ語授業関係記事のいずれにも読みの印刷なし。	https://rekkyo.org/archives/10025 https://fmpipausi.sakura.ne.jp/menu.html	原典(紙面・紀要原本)での確認のみ残る。
p-1pw3zjc	伊藤 初太郎	伊藤 初太郎					no-printed-reading	根室の考古学・郷土研究家（1883-1976）。解説記事でも読みは印刷されていなかった。	https://www.city.nemuro.hokkaido.jp/material/files/group/33/no39.pdf	原典(紙面・紀要原本)での確認のみ残る。
yae-masako	八重 昌子	八重 昌子			Yae Masako	Yae Masako	no-printed-reading	スピーカー（works空）。釧路アイヌ語の会のアイヌタイムズ寄稿者。エスペラント語版アーカイブにローマ字署名なし。	http://otarunay.at-ninja.jp/taimuzu-all2.html	原典(紙面・紀要原本)での確認のみ残る。
yae-kiyotoshi	八重 清敏	八重 清敏			Yae Kiyotoshi	Yae Kiyotoshi	identity-unconfirmed	アイヌ民族文化財団の受賞者紹介「令和2年度(第24回) アイヌ文化奨励賞 八重清敏(64歳) 北海道鶴居村在住」——本文にふりがなはなく、掲載写真のファイル名のみ「yaekiyotoshi.jpg」 鶴居村のアイヌ木彫作家・祭司。公文書・動画・ショップのいずれにも読みの印刷なし。写真ファイル名 yaekiyotoshi.jpg が「やえ きよとし」を示唆するが、印刷された読みとは言えず確定に至らず	https://www.ff-ainu.or.jp/web/overview/business/details/r2bunkasho-9.html	同一人物の裏付けが取れれば読みを採用できる。
yoshihara-katsumi	吉原 克己	吉原 克己			Yoshihara Katsumi	Yoshihara Katsumi	identity-unconfirmed	法政大学アテルイ(アイヌ語資料)データベース entry for アイヌ語小辞典 その一 (掲載誌 ペウレウタリ 1) prints "吉原 克己(編) （よしはら かつき？）". The only printed reading carries the database's own question mark, so it is a tentative reading, not an attes	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=6896&domain=ainu	同一人物の裏付けが取れれば読みを採用できる。
yoshimura-akio	吉村 明夫	吉村 明夫			Yoshimura Akio	Yoshimura Akio	no-printed-reading	Credited only as a speaker/contributor (works empty). No printed reading found in accessible sources; original print issues not reachable online.	https://otarunay.at-ninja.jp/taimuzu-all3.html	原典(紙面・紀要原本)での確認のみ残る。
p-pfh2dq	土井 勝典	土井 勝典					no-printed-reading	石狩市郷土研究会 member who leads the アイヌ語地名研究会部会; no printed reading found.	http://www.iwata-shoin.co.jp/local/local-info_149.pdf https://www.ishikari-library-unet.ocn.ne.jp/TOSHOW/html/Kyodo_ishikarigoyomi.html	原典(紙面・紀要原本)での確認のみ残る。
p-113iutn	大場 秀夫	大場 秀夫					no-printed-reading	1930s physical anthropist (人類学雑誌, 樺太鈴谷貝塚/吉胡貝塚人骨 studies). NDL/CiNii authorities were already checked in round 1; obituary and biographical sources online carry no reading.	https://cir.nii.ac.jp/crid/1573387450178428032	原典(紙面・紀要原本)での確認のみ残る。
ota-kamus-okkay	太田 カムㇱオッカイ	太田 カムㇱオッカイ			Ōta Kamus Okkay	Ōta Kamus Okkay	identity-unconfirmed	CiNii Books record for アイヌ研究の現在と未来 prints the author heading "太田カムシオッカイ, 満 オオタ カムシオッカイ, ミツル" (chapter: アイヌ語研究に想う事 / 太田カムシオッカイ満著). Works empty (speaker/narrator only), so identity could not be tied to 	https://ci.nii.ac.jp/ncid/BB01825875?l=en	同一人物の裏付けが取れれば読みを採用できる。
okuda-sachiko	奥田 幸子	奥田 幸子			Okuda Sachiko	Okuda Sachiko	no-printed-reading	Chair of 釧路アイヌ語の会; local news and course listings likewise print kanji only. No furigana found.	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202502217684172266	原典(紙面・紀要原本)での確認のみ残る。
azumi-yasunori	安曇 恭徳	安曇 恭徳			Azumi Yasunori	Azumi Yasunori	further-research	この照合に使える登録著作のCiNii URLがない。かなの個別調査は未完了。		NDLの異表記、原著、著者紹介を調査する。
miyazaki-kota	宮崎 耕太	宮崎 耕太			Miyazaki Kōta	Miyazaki Kōta	no-printed-reading	Independent researcher publishing in アイヌ語地名研究 (アイヌ語地名研究会, 江別); no researchmap/J-GLOBAL/KAKEN profile, no printed reading found.	http://www7b.biglobe.ne.jp/~rishirimorinoshizuku/link.html	原典(紙面・紀要原本)での確認のみ残る。
ogawa-shigeno	小川 シゲノ	小川 シゲノ			Ogawa Shigeno	Ogawa Shigeno	no-printed-reading	Ainu narrator from 平取町貫気別, subject of 大谷洋一「小川シゲノさんの口承文芸」(北海道立アイヌ民族文化研究センター研究紀要); the old series is not digitized on the 北海道博物館 site and no accessible source prints the family-name reading.	https://ko-sho.org/page/activity/kaihou/77.pdf	原典(紙面・紀要原本)での確認のみ残る。
p-1i159kw	小林 耕一	小林 耕一					no-printed-reading	アイヌ語地名研究会（札幌）会報・『アイヌ語地名研究』に複数論文がある同人（「アイヌ語地名における『ケ』の意味」等、岩田書院地方史情報PDFで確認）だが、ふりがな・ローマ字を印刷した公開資料は見つからず。		原典(紙面・紀要原本)での確認のみ残る。
p-1i361g2	小柳 誠之	小柳 誠之					no-printed-reading	アイヌ無形文化伝承保存会『アイヌ生活誌』『語りの中の生活誌』の編集・構成者（CiNii BN00723080/BN00675909で確認）だが、読みを印刷した資料は見つからず（こやなぎ/おやなぎ、まさゆき/しげゆき等の可能性があるが全て推測）。		原典(紙面・紀要原本)での確認のみ残る。
p-1ktul8c	岡本 武雄	岡本 武雄					no-printed-reading	由仁町の郷土研究者（松浦武四郎『夕張日誌』研究、北海道新聞2025-09-12記事で確認）。コトバンクの「岡本武雄（おかもと たけお）」は明治期の新聞記者（1847-1893）で別人につき読みとしては不採用。本人の読みを印刷した公開資料は見つからず。		原典(紙面・紀要原本)での確認のみ残る。
p-1r6enj9	岡部 方幾	岡部 方幾					no-printed-reading	旧姓山室方幾（明治期の陸軍工兵下士官・道庁吏、NDLレファレンス事例1000228588で確認）。同事例にも読みの記載なし。方幾の読み（ほうき等）はいずれも推測につき未採用。	https://crd.ndl.go.jp/reference/entry/index.php?id=1000228588&page=ref_view	原典(紙面・紀要原本)での確認のみ残る。
hirame-yoshi	平目 よし	平目 よし			Hirame Yoshi	Hirame Yoshi	no-printed-reading	国立アイヌ民族博物館アイヌ語アーカイブに「平取町音声資料018/019 平目よし（1969）」とあるが姓名の読み（ひらめ等）は印刷されていない。元資料（1969年平取町録音）の刊行物での確認は手上げ。		原典(紙面・紀要原本)での確認のみ残る。
hiraishi-kiyotaka	平石 清隆	平石 清隆			Hiraishi Kiyotaka	Hiraishi Kiyotaka	no-printed-reading	上田とし聞き取り・沙流方言ウウェペケレ研究の人物（2004年助成報告第3号、緑の地球ネットワーク会報の講師記載で確認）だが、読みを印刷した公開資料は見つからず。		原典(紙面・紀要原本)での確認のみ残る。
tokutomi-kei	徳冨 圭	徳冨 圭			Tokutomi Kei	Tokutomi Kei	no-printed-reading	FMピパウシページは「徳富 圭」、アイヌタイムズ総目次は「徳冨 圭（沙流・千歳）」と漢字のみで、読みを印刷した資料は見つからず。話者としてのみ収録（works空）。	https://fmpipausi.sakura.ne.jp/fm20100912.htm	原典(紙面・紀要原本)での確認のみ残る。
p-cgadvd	戸川 貴之	戸川 貴之				Togawa Takashi	no-printed-reading	帯広北高校→帯広柏葉高校教諭、KAKEN 20H00761研究者（本人確認済み）。J-STAGE論文録・KAKEN・edupediaインタビューいずれも漢字のみで読みの記載なし。J-GLOBAL該当者なし。	https://www.jstage.jst.go.jp/article/jtsjs/140/0/140_69/_article/-char/ja https://kaken.nii.ac.jp/ja/grant/KAKENHI-PROJECT-20H00761/	原典(紙面・紀要原本)での確認のみ残る。
p-gitgqw	打田 元輝	打田 元輝					no-printed-reading	地名研究会・古地図関連資料を検索したが、読みの明記を確認できなかった。	https://bibdb.ninjal.ac.jp/bunken/ja/article/302024005496	原典(紙面・紀要原本)での確認のみ残る。
p-12o91rj	木村 博海	木村 博海					no-printed-reading	郵趣・郵便資料収集関連も検索したが、対象著者の読みの明記を確認できなかった。	https://bibdb.ninjal.ac.jp/bunken/ja/article/302024005496	原典(紙面・紀要原本)での確認のみ残る。
p-11o400v	杉山 泰子	杉山 泰子					no-printed-reading	対象作品・日本大学三島の民俗／衣服研究関連を検索したが、読みを確認できなかった。看護学分野の同姓同名者のYasuko表記は採用しない。		原典(紙面・紀要原本)での確認のみ残る。
matsuno-ayaka	松野 綾香	松野 綾香			Matsuno Ayaka	Matsuno Ayaka	identity-unconfirmed	釧路商工会議所青年部の名簿に「松野 綾香」「Ayaka Matsuno」。アイヌタイムズ目次41-5に「松野 綾香」「／松本 成美（釧路）」。 地域は一致するが、名簿の飲食店関係者と2007年のアイヌタイムズ執筆者が同一人物である根拠は得られない。候補の読みは採用しない。	https://yeg.kuhcci.or.jp/member.html https://aynuitak.at-ninja.jp/Contents.pdf	同一人物の裏付けが取れれば読みを採用できる。
tazawa-takashi	田澤 崇	田澤 崇			Tazawa Takashi	Tazawa Takashi	no-printed-reading	アイヌ語弁論大会の受賞者としても検索されたが、読みは確認できなかった。さいたま市PTA関係者の同名ふりがなは同一性不明のため採用しない。	https://aynuitak.at-ninja.jp/Contents.pdf	原典(紙面・紀要原本)での確認のみ残る。
todome-seiji	留目 政治	留目 政治			Todome Seiji	Todome Seiji	no-printed-reading	対象資料の著者名は確認できたが、読みを印刷した資料は見つからなかった。	https://kenshi-archives.pref.aomori.lg.jp/il/meta_pub/G0000004txt_Moda7-03-05-0-101.07	原典(紙面・紀要原本)での確認のみ残る。
aihara-noriaki	相原 典明	相原 典明			Aihara Noriaki	Aihara Noriaki	no-printed-reading	アイヌタイムズ署名と樺太アイヌ語の会の記載を確認。数理物理分野の同名人物の読みは採用しない。	https://aynuitak.at-ninja.jp/Contents.pdf	原典(紙面・紀要原本)での確認のみ残る。
isobe-etsuko	磯部 恵津子	磯部 恵津子			Isobe Etsuko	Isobe Etsuko	no-printed-reading	白糠アイヌ文化保存会会長の講演「アイヌ民族に生まれて」と財団資料を検索。漢字署名のみ確認。講演転載ページは取得失敗、生活文化再現マニュアルPDFは容量制限で取得できず、読みは未確認。		原典(紙面・紀要原本)での確認のみ残る。
kanzaki-masayoshi	神崎 雅好	神崎 雅好			Kanzaki Masayoshi	Kanzaki Masayoshi	no-printed-reading	アイヌ語教室講師へのインタビュー、博物館会議名簿も検索したが、氏名のかな・ローマ字表記に至らず。	https://aynuitak.at-ninja.jp/Contents.pdf https://otarunay.at-ninja.jp/taimuzu.html	原典(紙面・紀要原本)での確認のみ残る。
akiyama-hidetoshi	秋山 秀敏	秋山 秀敏			Akiyama Hidetoshi	Akiyama Hidetoshi	no-printed-reading	十勝のアイヌ語地名研究、松浦武四郎研究、新得町史編さん関係を照合したが、読みを印刷した資料は見つからなかった。	https://www.tokachi.co.jp/tcf/tp_detail.php?id=99	原典(紙面・紀要原本)での確認のみ残る。
yoneda-noriyuki	米田 儀行	米田 儀行			Yoneda Noriyuki	Yoneda Noriyuki	no-printed-reading	第28号・第36号の署名も確認。公開検索と見出し一覧では氏名のかな・ローマ字表記を確認できなかった。	https://aynuitak.at-ninja.jp/Contents.pdf	原典(紙面・紀要原本)での確認のみ残る。
p-zxb1g8	若林 和夫	若林 和夫					no-printed-reading	登録作品と同分野の論文本文、学会記事を確認。栄養学研究者や競技記録の同名人物のローマ字は採用しない。	https://hes.official.jp/images/kaishi_pdf/01/01-04wakabayashi.pdf	原典(紙面・紀要原本)での確認のみ残る。
kanno-yuko	菅野 由布子	菅野 由布子			Kanno Yūko	Kanno Yūko	no-printed-reading	アイヌタイムズの該当記事と署名を確認したが、氏名のかな・ローマ字表記は見つからなかった。	https://aynuitak.at-ninja.jp/Contents.pdf	原典(紙面・紀要原本)での確認のみ残る。
p-3u7nms	袖上生	袖上生					no-printed-reading	法政大学の古代史・北方史文献データベースの検索結果で「永田方正氏に答ふ」（史海29、1893年11月）と「史海第二十六号を読みて」を確認。本文取得に失敗し、署名の読みや筆名の実名対応は確認できなかった。		原典(紙面・紀要原本)での確認のみ残る。
p-kbsdtj	西﨑 専一	西﨑 専一					identity-unconfirmed	『ジョバンニの耳』販売書誌の検索結果に「にしざき せんいち ニシザキ センイチ」。販売ページの直接取得は失敗。 登録論文は名古屋音楽大学研究紀要に掲載。同大学教授・音楽評論家の西崎専一が有力候補だが、取得できた登録論文書誌には読みも所属もなく、読みを持つ書籍著者との直接の同一性確認には至らないため保留。	https://cir.nii.ac.jp/crid/1520290882240269952 https://store.shopping.yahoo.co.jp/bookfan/bk-4833120658.html	同一人物の裏付けが取れれば読みを採用できる。
p-12qbr50	都築 埴雅	都築 埴雅					no-printed-reading	関東学院大学図書館関係資料、日本図書館協会資料、情報科学技術協会の編集者記録を検索。氏名の読み・ローマ字表記は確認できなかった。	https://www.jstage.jst.go.jp/article/ajsls/35/Supplement/35_S1/_pdf	原典(紙面・紀要原本)での確認のみ残る。
seki-masanori	關 政則	關 政則			Seki Masanori	Seki Masanori	no-printed-reading	1930年代の樺太アイヌ人骨研究者と確認できるが、名は頭文字Mまで。指定原論文のPDF取得にも失敗し、名の読みは確定できなかった。	https://www.jstage.jst.go.jp/article/ase1911/98/1/98_1_1/_pdf	原典(紙面・紀要原本)での確認のみ残る。
p-1ve2u2k	青木 茂治	青木 茂治					no-printed-reading	指定書評を確認。関連分野の論文にもフルネームのかな・ローマ字は見つからなかった。微生物学者、鉄道関係者など同姓同名の読みは採用しない。	https://www.ajg.or.jp/20060602/46/ https://jags.ne.jp/wp/wp-content/uploads/2-2-5.pdf	原典(紙面・紀要原本)での確認のみ残る。
p-1mjn4tu	高柳 茂	高柳 茂					identity-unconfirmed	出版社『滑川町の地名』紹介ページの検索結果に「高柳 茂（たかやなぎ・しげる）」「滑川町文化財保護委員会委員長」。 候補は「たかやなぎ しげる」。埼玉の地名・郷土史研究という分野は一致するが、指定論文との直接の人物照合は未完了。URLの直接取得は失敗し、引用は検索結果のみで確認したため、本文取得条件を満たす確定例には数えない。	https://www.matsuyama-syobou.com/book/ti/016nt.htm	同一人物の裏付けが取れれば読みを採用できる。
takahashi-shin	高橋 慎	高橋 慎			Takahashi Shin	Takahashi Shin	identity-unconfirmed	博報賞受賞者プロフィール「北海道 高橋 慎（たかはし まこと）」「特定非営利活動法人雨煙別学校 理事」。 候補は「たかはし まこと」。栗山の郷土教育・自然環境保全活動との地域的関連はあるが、『栗山のアイヌ語地名考』等の著者と同一人物であることを確認する資料が不足。slugのshinは証拠に用いない。	https://www.hakuhodofoundation.or.jp/prize/recipient/2015/1.html	同一人物の裏付けが取れれば読みを採用できる。
takahashi-akiko	高橋 晶子	高橋 晶子			Akiko Takahashi	Akiko Takahashi	no-printed-reading	アイヌ口承文芸の再話・北海道の児童文学に関する著作を検索したが、この著者に結び付く読みの明記は見つからなかった。建築家・情報科学研究者など同姓同名の別人の読みは除外。		原典(紙面・紀要原本)での確認のみ残る。
p-12ak29f	高野 三代作	高野 三代作					no-printed-reading	指定作品と1968〜1969年の室蘭郷土史関係の記事を確認できるが、読みの明記は見つからなかった。	https://aterui.ws.hosei.ac.jp/togo/?ainu=&ando=&ezo=&page=795&query=%E3%80%8E%E4%BB%AE%E7%A7%B0%E3%82%9B%E3%83%A4%E3%82%A4%E3%83%A6%E3%83%BC%E3%82%AB%E3%83%A9%E3%82%A2%E3%82%A4%E3%83%8C%E6%B0%91%E6%97	原典(紙面・紀要原本)での確認のみ残る。
kurokawa-teshime	黒川 てしめ	黒川 てしめ			Kurokawa Teshime	Kurokawa Teshime	no-printed-reading	平取町荷負本村の語り手として確認。名はかな書きだが、姓を含むフルネームの読みを明記した資料は見つからなかった。姓の読みを推測で補わない。	https://www.bunka.go.jp/seisaku/kokugo_nihongo/kokugo_shisaku/kikigengo/archivejigyo/pdf/kikigengo_chiba03.pdf	原典(紙面・紀要原本)での確認のみ残る。
